Volksabstimmung vom 26 November 2006;526;526
Bundesgesetz über die Zusammenarbeit mit den Staaten Osteuropas;
102;Andelfingen;19982;10477;52.4;10283;4901;47.7
103;Bülach;76464;34596;45.2;33818;16735;49.5
104;Dielsdorf;46533;20185;43.4;19731;9209;46.7
105;Hinwil;54590;25475;46.7;24976;11788;47.2
106;Horgen;72674;36400;50.1;35541;20765;58.4
107;Meilen;63945;34214;53.5;33372;19983;59.9
108;Pfäffikon;36090;18150;50.3;17799;8961;50.3
109;Uster;72407;33540;46.3;32675;18129;55.5
110;Winterthur;95870;47964;50.0;46461;27256;58.7
111;Dietikon;44896;19967;44.5;19517;10404;53.3
112;Zürich;221322;98123;44.3;94376;62006;65.7
201;Aarberg;24727;9822;39.7;9673;5411;55.9
202;Aarwangen;29540;11534;39.0;11380;5534;48.6
203;Bern;169068;79376;46.9;78351;52996;67.6
204;Biel;32585;11906;36.5;11724;7258;61.9
205;Büren;16101;5834;36.2;5772;2745;47.6
206;Burgdorf;33316;13098;39.3;12965;6948;53.6
207;Courtelary;15544;6946;44.7;6799;3453;50.8
208;Erlach;7600;3026;39.8;2988;1547;51.8
209;Fraubrunnen;28119;12185;43.3;12011;6726;56.0
210;Frutigen;14024;6024;43.0;5891;2200;37.3
211;Interlaken;27567;10994;39.9;10825;4925;45.5
212;Konolfingen;42676;17894;41.9;17520;9555;54.5
213;Laupen;11018;4552;41.3;4477;2364;52.8
214;Moutier;15586;7047;45.2;6888;3333;48.4
215;La Neuveville;4292;1876;43.7;1834;1151;62.8
216;Nidau;30084;12104;40.2;11919;6529;54.8
217;Niedersimmental;16661;6518;39.1;6448;3093;48.0
218;Oberhasli;5680;1946;34.3;1922;813;42.3
219;Obersimmental;6205;2198;35.4;2177;856;39.3
220;Saanen;5599;1920;34.3;1883;832;44.2
221;Schwarzenburg;7845;2763;35.2;2735;1222;44.7
222;Seftigen;27400;11628;42.4;11461;5698;49.7
223;Signau;18878;6060;32.1;5911;2593;43.9
224;Thun;69576;29079;41.8;28612;14360;50.2
225;Trachselwald;17954;6146;34.2;6030;2508;41.6
226;Wangen;19523;7646;39.2;7573;3354;44.3
301;Entlebuch;13111;5810;44.3;5700;2163;37.9
302;Hochdorf;40437;18067;44.7;17746;8692;49.0
303;Luzern;110711;51961;46.9;51133;29548;57.8
304;Sursee;44961;20445;45.5;20044;9971;49.7
305;Willisau;32157;14355;44.6;14097;6366;45.2
400;Kt Uri;25651;9614;37.5;9432;4102;43.5
501;Einsiedeln;9331;5095;54.6;4935;1807;36.6
502;Gersau;1366;699;51.2;683;266;38.9
503;Höfe;17366;9125;52.5;8893;4060;45.7
504;Küssnacht (SZ);7946;3773;47.5;3687;1795;48.7
505;March;23266;10232;44.0;10020;3535;35.3
506;Schwyz;33758;17506;51.9;17099;6074;35.5
600;Kt Obwalden;23679;10828;45.7;10450;4525;43.3
700;Kt Nidwalden;29283;12860;43.9;12536;5485;43.8
800;Kt Glarus;25290;10363;41.0;10302;3650;35.4
900;Kt Zug;69842;31831;45.6;31637;17526;55.4
1001;La Broye;16183;8029;49.6;7908;3861;48.8
1002;La Glâne;13026;6558;50.3;6429;2842;44.2
1003;La Gruyère;27639;13349;48.3;12996;6663;51.3
1004;La Sarine;55153;26219;47.5;25631;16749;65.3
1005;See / Lac;20748;8708;42.0;8598;4909;57.1
1006;Sense;29537;12541;42.5;12391;6621;53.4
1007;La Veveyse;9587;4535;47.3;4417;2111;47.8
1101;Gäu;11635;5932;51.0;5862;2649;45.2
1102;Thal;9683;5168;53.4;5093;2118;41.6
1103;Bucheggberg;5799;3010;51.9;2952;1506;51.0
1104;Dorneck;13135;6348;48.3;6271;3630;57.9
1105;Gösgen;14849;7374;49.7;7266;3560;49.0
1106;Wasseramt;30943;15193;49.1;14943;7623;51.0
1107;Lebern;29213;14372;49.2;14122;7276;51.5
1108;Olten;32512;16662;51.2;16411;8671;52.8
1109;Solothurn;10678;5495;51.5;5405;3629;67.1
1110;Thierstein;9863;4591;46.5;4527;1951;43.1
1200;Kt Basel-Stadt;108507;53851;49.6;53209;31906;60.0
1301;Arlesheim;101419;43659;43.0;42873;25592;59.7
1302;Laufen;12649;4902;38.8;4837;2364;48.9
1303;Liestal;35117;13899;39.6;13678;7562;55.3
1304;Sissach;22995;8962;39.0;8805;4407;50.1
1305;Waldenburg;10793;3832;35.5;3792;1759;46.4
1401;Oberklettgau;2840;1807;63.6;1716;759;44.2
1402;Reiat;5291;3707;70.1;3505;1374;39.2
1403;Schaffhausen;31468;19244;61.2;18145;8926;49.2
1404;Schleitheim;2177;1308;60.1;1254;449;35.8
1405;Stein;3424;2074;60.6;2012;875;43.5
1406;Unterklettgau;3295;2051;62.2;1984;714;36.0
1501;Hinterland;16149;6999;43.3;6941;3276;47.2
1502;Mittelland;11425;5992;52.4;5941;3091;52.0
1503;Vorderland;9224;4226;45.8;4201;1922;45.8
1600;Kt Appenzell Innerrhoden;10532;4158;39.5;4088;1661;40.6
1721;St Gallen;74227;31420;42.3;31252;17230;55.1
1722;Rorschach;24810;10158;40.9;10099;4922;48.7
1723;Rheintal;39263;16129;41.1;16079;6421;39.9
1724;Werdenberg;21453;9014;42.0;8974;4116;45.9
1725;Sarganserland;23874;9491;39.8;9461;3646;38.5
1726;See-Gaster;39788;16432;41.3;16343;7335;44.9
1727;Toggenburg;30303;12623;41.7;12550;5052;40.3
1728;Wil;43883;18881;43.0;18785;8842;47.1
1821;Albula;6281;2085;33.2;2052;1040;50.7
1822;Bernina;3725;1392;37.4;1338;600;44.8
1823;Hinterrhein;8839;3158;35.7;3115;1688;54.2
1824;Imboden;12083;4311;35.7;4251;2386;56.1
1825;Inn;6761;2448;36.2;2405;1323;55.0
1826;Landquart;16353;5172;31.6;5074;2649;52.2
1827;Maloja / Maloggia;11125;4654;41.8;4570;2564;56.1
1828;Moesa;5522;2082;37.7;2036;616;30.3
1829;Plessur;27378;9511;34.7;9290;5410;58.2
1830;Prättigau-Davos;17400;5941;34.1;5837;2698;46.2
1831;Surselva;16554;5433;32.8;5365;2996;55.8
1901;Aarau;44575;19426;43.6;19216;10447;54.4
1902;Baden;76471;31743;41.5;31450;17814;56.6
