Volksabstimmung vom 2 Dezember 2001;483;483
Volksinitiative «Solidarität schafft Sicherheit;Für einen freiwilligen zivilen Friedensdienst (ZFD)»;
102;Andelfingen;18557 ;8388 ;8221 ;1551 ;1705;Werdenberg;20821 ;7867 ;7789 ;1435
103;Bülach;70173 ;26211 ;25751 ;5030 ;1706;Sargans;22947 ;8691 ;8621 ;1187
104;Dielsdorf;43440 ;14894 ;14658 ;2889 ;1707;Gaster;8569 ;2608 ;2588 ;310
105;Hinwil;51123 ;20045 ;19650 ;4150 ;1708;See;29032 ;10904 ;10783 ;1871
106;Horgen;71095 ;31407 ;30630 ;6421 ;1709;Obertoggenburg;7952 ;3021 ;2990 ;500
107;Meilen;61365 ;28191 ;27596 ;5045 ;1710;Neutoggenburg;9340 ;3501 ;3470 ;611
108;Pfäffikon;33755 ;13337 ;13054 ;2824 ;1711;Alttoggenburg;9692 ;3437 ;3410 ;501
109;Uster;68911 ;26248 ;25712 ;5927 ;1712;Untertoggenburg;23340 ;8456 ;8375 ;1335
110;Winterthur;89984 ;40570 ;39362 ;9597 ;1713;Wil;21115 ;8219 ;8148 ;1138
111;Dietikon;44283 ;16865 ;16558 ;3098 ;1714;Gossau;19509 ;7611 ;7554 ;1018
112;Zürich;216948 ;83861 ;81469 ;28774 ;1821;Albula;6250 ;1873 ;1848 ;303
201;Aarberg;23531 ;8607 ;8489 ;1487 ;1822;Bernina;3735 ;1304 ;1271 ;265
202;Aarwangen;28671 ;10950 ;10829 ;1659 ;1823;Hinterrhein;8547 ;2876 ;2827 ;540
203;Bern;168478 ;69094 ;67908 ;18814 ;1824;Imboden;11435 ;3615 ;3541 ;641
204;Biel;32265 ;10620 ;10425 ;3668 ;1825;Inn;6590 ;1977 ;1951 ;371
205;Büren;15667 ;5487 ;5417 ;912 ;1826;Landquart;15228 ;4535 ;4456 ;838
206;Burgdorf;32178 ;11998 ;11816 ;2194 ;1827;Maloja;11075 ;3643 ;3553 ;717
207;Courtelary;15293 ;6014 ;5860 ;1844 ;1828;Moesa;5457 ;1835 ;1779 ;458
208;Erlach;7321 ;2870 ;2835 ;444 ;1829;Plessur;26525 ;10258 ;9788 ;2274
209;Fraubrunnen;26880 ;10608 ;10450 ;2159 ;1830;Prättigau-Davos;17232 ;5644 ;5458 ;1005
210;Frutigen;13491 ;5636 ;5523 ;540 ;1831;Surselva;16482 ;5115 ;5011 ;854
211;Interlaken;26743 ;10464 ;10294 ;1425 ;1901;Aarau;42304 ;15858 ;15633 ;2993
212;Konolfingen;40918 ;15630 ;15382 ;2627 ;1902;Baden;73208 ;24787 ;24477 ;4602
213;Laupen;10783 ;4071 ;4013 ;685 ;1903;Bremgarten;40406 ;12641 ;12521 ;2129
214;Moutier;15489 ;6973 ;6830 ;2311 ;1904;Brugg;28324 ;10161 ;10027 ;1718
215;La Neuveville;4132 ;1709 ;1660 ;562 ;1905;Kulm;23263 ;7334 ;7247 ;899
216;Nidau;28613 ;10853 ;10703 ;2158 ;1906;Laufenburg;17726 ;5701 ;5636 ;838
