Volksabstimmung vom 25 September 2005;519;519;
Bundesbeschluss über die Ausdehnung des Personenfreizügigkeitsabkommens;
101;Affoltern;29828 ;17089 ;16824 ;9928 ;
102;Andelfingen;19678 ;11759 ;11578 ;5890 ;
103;Bülach;74933 ;40138 ;39542 ;20394 ;
104;Dielsdorf;45809 ;24429 ;24011 ;11406 ;
105;Hinwil;53740 ;28926 ;28509 ;14614 ;
106;Horgen;72430 ;41834 ;41033 ;25110 ;
107;Meilen;63672 ;39341 ;38488 ;24828 ;
108;Pfäffikon;35540 ;20020 ;19792 ;10601 ;
109;Uster;71781 ;39014 ;38407 ;22462 ;
110;Winterthur;94635 ;53967 ;52387 ;31906 ;
111;Dietikon;44595 ;24134 ;23551 ;12864 ;
112;Zürich;218492 ;117152 ;114063 ;76269 ;
201;Aarberg;24514 ;11391 ;11306 ;6948 ;
202;Aarwangen;29275 ;13913 ;13801 ;7196 ;
203;Bern;169014 ;86377 ;85850 ;61976 ;
204;Biel;32363 ;14317 ;14230 ;9574 ;
205;Büren;15985 ;7077 ;7036 ;3787 ;
206;Burgdorf;32937 ;15063 ;14925 ;8875 ;
207;Courtelary;15527 ;7437 ;7377 ;3980 ;
208;Erlach;7529 ;3523 ;3507 ;2031 ;
209;Fraubrunnen;27675 ;13350 ;13245 ;8273 ;
210;Frutigen;13943 ;6025 ;6000 ;2360 ;
211;Interlaken;27420 ;11255 ;11166 ;5652 ;
212;Konolfingen;42234 ;19577 ;19423 ;11569 ;
213;Laupen;11034 ;5354 ;5318 ;3175 ;
214;Moutier;15558 ;8155 ;8053 ;4177 ;
215;La Neuveville;4277 ;2217 ;2192 ;1535 ;
216;Nidau;29722 ;13850 ;13743 ;8516 ;
217;Niedersimmental;16555 ;7252 ;7216 ;3800 ;
218;Oberhasli;5686 ;2263 ;2255 ;986 ;
219;Obersimmental;6165 ;2552 ;2536 ;1012 ;
220;Saanen;5590 ;2439 ;2432 ;1088 ;
221;Schwarzenburg;7756 ;3167 ;3154 ;1586 ;
222;Seftigen;27101 ;12566 ;12450 ;6929 ;
223;Signau;18651 ;6914 ;6863 ;3382 ;
224;Thun;68760 ;31006 ;30794 ;17154 ;
225;Trachselwald;17883 ;7079 ;7037 ;3287 ;
226;Wangen;19307 ;9318 ;9262 ;4677 ;
301;Entlebuch;13081 ;7387 ;7290 ;2403 ;
302;Hochdorf;40017 ;22789 ;22498 ;10782 ;
303;Luzern;109846 ;64817 ;63983 ;36641 ;
304;Sursee;44055 ;25775 ;25338 ;12271 ;
305;Willisau;31772 ;18628 ;18353 ;7683 ;
400;KtUri;25665 ;12038 ;11834 ;5193 ;
501;Einsiedeln;9149 ;5276 ;5155 ;2055 ;
502;Gersau;1371 ;805 ;803 ;317 ;
503;Höfe;16993 ;9746 ;9550 ;4815 ;
504;Küssnacht;7948 ;4624 ;4533 ;2369 ;
505;March;22772 ;12380 ;12088 ;4482 ;
506;Schwyz;33489 ;19874 ;19414 ;6987 ;
600;KtObwalden;23261 ;12443 ;11995 ;5480 ;
700;KtNidwalden;28926 ;16173 ;15850 ;7318 ;
800;KtGlarus;25077 ;12658 ;12622 ;5421 ;
900;KtZug;68968 ;41450 ;41290 ;22883 ;
1001;La Broye;15793 ;8851 ;8758 ;4705 ;
1002;La Glâne;12832 ;6741 ;6651 ;3332 ;
1003;La Gruyere;27150 ;14824 ;14592 ;7682 ;
1004;La Sarine;54366 ;30479 ;29828 ;20004 ;
1005;See;20293 ;10528 ;10467 ;6403 ;
1006;Sense;29206 ;13443 ;13385 ;7650 ;
1007;La Veveyese;9320 ;5140 ;5043 ;2631 ;
1101;Gäu;11544 ;6362 ;6309 ;3024 ;
1102;Tal;9672 ;5577 ;5540 ;2358 ;
1103;Bucheggberg;5729 ;3116 ;3089 ;1721 ;
1104;Dorneck;13072 ;7767 ;7687 ;4531 ;
1105;Gösgen;14723 ;8129 ;8083 ;4183 ;
1106;Wasseramt;30850 ;15401 ;15295 ;8429 ;
1107;Lebern;29146 ;15018 ;14930 ;8132 ;
1108;Olten;32316 ;16756 ;16654 ;9186 ;
1109;Solothurn;10606 ;5198 ;5168 ;3681 ;
1110;Thierstein;9836 ;5540 ;5488 ;2500 ;
1200;KtBasel-Stadt;109887 ;65595 ;64959 ;40854 ;
1301;Arlesheim;100797 ;55596 ;54745 ;34913 ;
1302;Laufen;12520 ;6287 ;6248 ;3163 ;
1303;Liestal;34793 ;17940 ;17747 ;10435 ;
1304;Sissach;22631 ;11778 ;11626 ;6112 ;
1305;Waldenburg;10734 ;5468 ;5397 ;2590 ;
1401;Oberklettgau;2813 ;2001 ;1932 ;914 ;
1402;Reiat;5195 ;3879 ;3739 ;1586 ;
1403;Schaffhausen;31464 ;21364 ;20456 ;11176 ;
1404;Schleitheim;2153 ;1387 ;1353 ;563 ;
1405;Stein;3359 ;2324 ;2246 ;1125 ;
1406;Unterklettgau;3282 ;2178 ;2138 ;932 ;
1501;Hinterland;15964 ;8877 ;8836 ;4518 ;
1502;Mittelland;11296 ;7039 ;6994 ;4107 ;
1503;Vorderland;9102 ;5339 ;5309 ;2715 ;
1600;Kt Appenzell IRh;10362 ;5314 ;5263 ;2270 ;
1721;Wahlkreis St Gallen;73657 ;39405 ;39248 ;23905 ;
1722;Wahlkreis Rorschach;24761 ;13217 ;13168 ;7425 ;
1723;Wahlkreis Rheintal;39023 ;20664 ;20626 ;9784 ;
1724;Wahlkreis Werdenberg;21442 ;11135 ;11109 ;5222 ;
1725;Wahlkreis Sarganserland;23658 ;12750 ;12722 ;5530 ;
1726;Wahlkreis See-Gaster;39255 ;21044 ;20971 ;10313 ;
1727;Wahlkreis Toggenburg;30068 ;15422 ;15394 ;7176 ;
1728;Wahlkreis Wil;43187 ;23338 ;23279 ;12381 ;
1821;Albula;6250 ;2719 ;2684 ;1422 ;
1822;Bernina;3710 ;1769 ;1729 ;629 ;
1823;Hinterrhein;8766 ;4232 ;4198 ;2160 ;
1824;Imboden;11915 ;6350 ;6234 ;3295 ;
1825;Inn;6724 ;3018 ;2984 ;1609 ;
1826;Landquart;16102 ;7266 ;7115 ;3597 ;
1827;Maloja;11075 ;5420 ;5342 ;2844 ;
1828;Moesa;5485 ;2877 ;2827 ;773 ;
1829;Plessur;27222 ;12971 ;12584 ;7299 ;
1830;Prättigau-Davos;17328 ;8176 ;8018 ;3515 ;
1831;Surselva;16561 ;7112 ;7027 ;3827 ;
1901;Aarau;43908 ;24923 ;24707 ;13752 ;
1902;Baden;75494 ;41387 ;41091 ;23836 ;
1903;Bremgarten;42301 ;23119 ;22997 ;11730 ;
1904;Brugg;29323 ;16980 ;16838 ;8644 ;
1905;Kulm;23731 ;12865 ;12767 ;4851 ;
1906;Laufenburg;18608 ;9925 ;9870 ;4830 ;
1907;Lenzburg;31808 ;17471 ;17374 ;8411 ;
1908;Muri;19966 ;11187 ;11120 ;4951 ;
1909;Rheinfelden;26219 ;13356 ;13255 ;7144 ;
1910;Zofingen;40466 ;20617 ;20475 ;9469 ;
