Volksabstimmung vom 28 November 2010;Abst-Nr;552.1;
Volksinitiative «Für die Ausschaffung krimineller Ausländer» 1);
1727;Toggenburg;30159;15895;52.7;15872;222;9958;5692;63.6;
1728;Wil;44934;25585;56.9;25550;420;15064;10066;59.9;
1821;Albula;5973;2572;43.1;2553;23;1295;1235;51.2;
1822;Bernina;3743;1955;52.2;1930;48;1154;728;61.3;
1823;Hinterrhein;9061;4240;46.8;4198;63;2042;2093;49.4;
1824;Imboden;12672;6162;48.6;6106;76;3217;2813;53.3;
1825;Inn;6791;2869;42.2;2850;54;1374;1422;49.1;
1826;Landquart;17065;7631;44.7;7522;66;4136;3320;55.5;
1827;Maloja / Maloggia;11229;5244;46.7;5167;91;2397;2679;47.2;
1828;Moësa;5654;2901;51.3;2831;50;1873;908;67.3;
1829;Plessur;28140;12953;46.0;12720;210;6211;6299;49.6;
1830;Prättigau-Davos;17807;8019;45.0;7907;86;4354;3467;55.7;
1831;Surselva;16551;6692;40.4;6614;128;3224;3262;49.7;
1901;Aarau;45875;25281;55.1;25251;313;13160;11778;52.8;
1902;Baden;79321;43578;54.9;43471;500;22214;20757;51.7;
1903;Bremgarten;44510;23875;53.6;23863;247;14020;9596;59.4;
1904;Brugg;30109;16847;56.0;16799;164;9276;7359;55.8;
1905;Kulm;24209;12548;51.8;12508;134;8393;3981;67.8;
1906;Laufenburg;19665;10057;51.1;10019;99;5699;4221;57.4;
1907;Lenzburg;34460;18544;53.8;18525;202;10952;7371;59.8;
1908;Muri;21489;11289;52.5;11280;120;7031;4129;63.0;
1909;Rheinfelden;27744;12979;46.8;12968;168;7207;5593;56.3;
1910;Zofingen;42117;21181;50.3;21144;239;12721;8184;60.9;
1911;Zurzach;19444;10390;53.4;10375;108;6509;3758;63.4;
2001;Arbon;24871;12851;51.7;12515;147;7291;5077;59.0;
2002;Bischofszell;19979;10342;51.8;10099;106;6459;3534;64.6;
2003;Diessenhofen;4284;2297;53.6;2274;22;1477;775;65.6;
2004;Frauenfeld;30886;16050;52.0;15692;120;8971;6601;57.6;
2005;Kreuzlingen;21150;10811;51.1;10559;132;6061;4366;58.1;
2006;Münchwilen;25286;12857;50.8;12539;109;8078;4352;65.0;
2007;Steckborn;12407;6373;51.4;6219;70;3979;2170;64.7;
2008;Weinfelden;17631;9260;52.5;9119;74;5663;3382;62.6;
2101;Bellinzona;29691;14126;47.6;13961;215;8158;5588;59.3;
2102;Blenio;4555;1832;40.2;1823;28;1218;577;67.9;
2103;Leventina;6136;3041;49.6;3017;47;1921;1049;64.7;
2104;Locarno;40857;17871;43.7;17718;259;10461;6998;59.9;
2105;Lugano;85640;40096;46.8;39798;513;24020;15265;61.1;
2106;Mendrisio;32633;15303;46.9;15155;205;9361;5589;62.6;
2107;Riviera;6998;3011;43.0;2993;39;1954;1000;66.1;
2108;Vallemaggia;4302;1884;43.8;1872;34;1150;688;62.6;
2221;Aigle;21469;10756;50.1;10727;154;5410;5163;51.2;
2222;Broye-Vully;21857;10635;48.7;10603;112;5385;5106;51.3;
2223;Gros-de-Vaud;24905;13324;53.5;13262;97;6203;6962;47.1;
2224;Jura-Nord vaudois;49983;25401;50.8;25291;265;11696;13330;46.7;
2225;Lausanne;76924;39227;51.0;39171;687;13652;24832;35.5;
2226;Lavaux-Oron;34397;19921;57.9;19735;209;7564;11962;38.7;
2227;Morges;43845;23585;53.8;23514;259;9317;13938;40.1;
2228;Nyon;46168;24592;53.3;24527;256;9523;14748;39.2;
2229;Ouest lausannois;30862;15398;49.9;15232;144;6778;8310;44.9;
2230;Riviera-Pays-d'Enhaut;42060;22270;52.9;22215;408;8841;12966;40.5;
2301;Brig;18392;10347;56.3;10184;128;5916;4140;58.8;
2302;Conthey;15700;8307;52.9;8080;141;3991;3948;50.3;
2303;Entremont;9169;4968;54.2;4877;95;2323;2459;48.6;
2304;Goms;3586;1768;49.3;1740;22;928;790;54.0;
2305;Hérens;8044;4810;59.8;4695;60;2116;2519;45.7;
2306;Leuk;8851;5163;58.3;5077;61;3013;2003;60.1;
2307;Martigny;25186;13701;54.4;13401;240;6672;6489;50.7;
2308;Monthey;24775;13018;52.5;12616;164;6780;5672;54.4;
2309;Raron;8332;4514;54.2;4455;83;2502;1870;57.2;
2310;Saint-Maurice;8049;4486;55.7;4416;71;1977;2368;45.5;
2311;Sierre;27714;15035;54.3;14729;281;6982;7466;48.3;
2312;Sion;27006;14705;54.5;14355;235;6195;7925;43.9;
2313;Visp;18368;9406;51.2;9152;122;5525;3505;61.2;
2401;Boudry;25241;12786;50.7;12742;242;5379;7121;43.0;
2402;La Chaux-de-Fonds;23381;10265;43.9;10191;172;4463;5556;44.5;
2403;Le Locle;9589;4457;46.5;4423;64;2213;2146;50.8;
2404;Neuchâtel;32206;15932;49.5;15872;306;6060;9506;38.9;
2405;Val-de-Ruz;10683;5462;51.1;5434;64;2469;2901;46.0;
2406;Val-de-Travers;8528;3511;41.2;3501;64;1952;1485;56.8;
2500;Canton de Genève;219576;121476;55.3;120584;1542;53118;65924;44.6;
