Volksabstimmung vom 16 Mai 2004;507;507;
Bundesgesetz über die Alters- und Hinterlassenenversicherung (11 AHV-Revision);
102;Andelfingen;19332 ;10903 ;10747 ;4788 ;
103;Bülach;73473 ;37052 ;36528 ;14601 ;
104;Dielsdorf;44768 ;21194 ;20882 ;8035 ;
105;Hinwil;52941 ;26944 ;26556 ;10702 ;
106;Horgen;71817 ;39693 ;39108 ;16057 ;
107;Meilen;63331 ;37039 ;36452 ;18138 ;
108;Pfäffikon;34843 ;18374 ;18141 ;7593 ;
109;Uster;70354 ;35688 ;35221 ;13745 ;
110;Winterthur;93036 ;49945 ;49020 ;18850 ;
111;Dietikon;44289 ;22166 ;21842 ;8317 ;
112;Zürich;217620 ;108391 ;105535 ;34334 ;
201;Aarberg;24146 ;12456 ;12328 ;4126 ;
202;Aarwangen;28907 ;13745 ;13664 ;4140 ;
203;Bern;168688 ;92406 ;91362 ;30641 ;
204;Biel;32480 ;14949 ;14825 ;3092 ;
205;Büren;15847 ;7542 ;7499 ;2014 ;
206;Burgdorf;32622 ;15585 ;15441 ;4893 ;
207;Courtelary;15494 ;7869 ;7822 ;1026 ;
208;Erlach;7439 ;3567 ;3534 ;1251 ;
209;Fraubrunnen;27256 ;13874 ;13753 ;4508 ;
210;Frutigen;13685 ;6307 ;6226 ;2234 ;
211;Interlaken;27087 ;12571 ;12457 ;3789 ;
212;Konolfingen;41851 ;20529 ;20320 ;6823 ;
213;Laupen;10897 ;5513 ;5478 ;1781 ;
214;Moutier;15502 ;8310 ;8261 ;994 ;
215;La Neuveville;4216 ;2162 ;2139 ;383 ;
216;Nidau;29247 ;14645 ;14556 ;4090 ;
217;Niedersimmental;16282 ;7552 ;7477 ;2415 ;
218;Oberhasli;5685 ;2502 ;2471 ;813 ;
219;Obersimmental;6176 ;2703 ;2668 ;977 ;
220;Saanen;5571 ;2422 ;2388 ;899 ;
221;Schwarzenburg;7687 ;3348 ;3315 ;937 ;
222;Seftigen;26679 ;13098 ;12978 ;4110 ;
223;Signau;18594 ;6797 ;6705 ;2256 ;
224;Thun;67843 ;32737 ;32430 ;9933 ;
225;Trachselwald;17786 ;6963 ;6906 ;2288 ;
226;Wangen;19083 ;9222 ;9165 ;2809 ;
301;Entlebuch;13040 ;7378 ;7236 ;2423 ;
302;Hochdorf;39453 ;21253 ;20935 ;8043 ;
303;Luzern;108710 ;60687 ;59843 ;20764 ;
304;Sursee;43189 ;22665 ;22249 ;9338 ;
305;Willisau;31577 ;15728 ;15485 ;5649 ;
400;KtUri;25539 ;12585 ;12213 ;3370 ;
501;Einsiedeln;8990 ;4440 ;4338 ;1682 ;
502;Gersau;1361 ;738 ;720 ;243 ;
503;Höfe;16826 ;8964 ;8754 ;3886 ;
504;Küssnacht;7807 ;4277 ;4192 ;1787 ;
505;March;22419 ;10981 ;10732 ;3778 ;
506;Schwyz;32969 ;18828 ;18279 ;6368 ;
600;KtObwalden;23020 ;11842 ;11175 ;4032 ;
700;KtNidwalden;28453 ;15026 ;14596 ;5855 ;
800;KtGlarus;25027 ;10621 ;10534 ;3730 ;
900;KtZug;67742 ;37656 ;37357 ;14781 ;
1001;La Broye;15343 ;8060 ;7982 ;1570 ;
1002;La Glâne;12535 ;6156 ;6067 ;1110 ;
1003;La Gruyere;26531 ;13656 ;13441 ;2727 ;
1004;La Sarine;53580 ;28384 ;27799 ;5840 ;
1005;See;19878 ;10333 ;10231 ;3065 ;
1006;Sense;28761 ;13741 ;13631 ;3994 ;
1007;La Veveyese;9005 ;4547 ;4467 ;783 ;
1101;Gäu;11405 ;5697 ;5662 ;1742 ;
1102;Tal;9621 ;5054 ;5020 ;1413 ;
1103;Bucheggberg;5606 ;2953 ;2938 ;1045 ;
1104;Dorneck;12948 ;7036 ;6997 ;1993 ;
1105;Gösgen;14772 ;7812 ;7754 ;2343 ;
1106;Wasseramt;30609 ;15553 ;15486 ;4102 ;
1107;Lebern;29039 ;14516 ;14419 ;4235 ;
1108;Olten;32174 ;16384 ;16294 ;5079 ;
1109;Solothurn;10517 ;5533 ;5473 ;1852 ;
1110;Thierstein;9658 ;4985 ;4959 ;1204 ;
1200;KtBasel-Stadt;110912 ;63046 ;62464 ;15886 ;
1301;Arlesheim;100225 ;54013 ;53383 ;15565 ;
1302;Laufen;12209 ;6262 ;6214 ;1589 ;
1303;Liestal;34404 ;17308 ;17137 ;4993 ;
1304;Sissach;22388 ;11136 ;10987 ;2963 ;
1305;Waldenburg;10588 ;5078 ;5015 ;1375 ;
1401;Oberklettgau;2993 ;2068 ;1961 ;809 ;
1402;Reiat;5139 ;3783 ;3609 ;1334 ;
1403;Schaffhausen;31533 ;20735 ;19713 ;6211 ;
1404;Schleitheim;2118 ;1317 ;1280 ;448 ;
