Volksabstimmung vom 16 Mai 2004;508;508;
Bundesbeschluss über die Finanzierung der AHV/IV durch Anhebung der Mehrwertsteuersätze;
102;Andelfingen;19332 ;10916 ;10789 ;3124 ;
103;Bülach;73473 ;37101 ;36617 ;12076 ;
104;Dielsdorf;44768 ;21248 ;20947 ;6398 ;
105;Hinwil;52941 ;27004 ;26633 ;8492 ;
106;Horgen;71817 ;39749 ;39179 ;13547 ;
107;Meilen;63331 ;37051 ;36533 ;12028 ;
108;Pfäffikon;34843 ;18368 ;18164 ;5767 ;
109;Uster;70354 ;35804 ;35340 ;12200 ;
110;Winterthur;93036 ;49981 ;49053 ;18347 ;
111;Dietikon;44289 ;22195 ;21901 ;7593 ;
112;Zürich;217620 ;108209 ;105220 ;47182 ;
201;Aarberg;24146 ;12456 ;12337 ;4073 ;
202;Aarwangen;28907 ;13745 ;13654 ;3850 ;
203;Bern;168688 ;92406 ;91137 ;39109 ;
204;Biel;32480 ;14949 ;14788 ;5282 ;
205;Büren;15847 ;7542 ;7503 ;2111 ;
206;Burgdorf;32622 ;15585 ;15451 ;5019 ;
207;Courtelary;15494 ;7869 ;7791 ;1680 ;
208;Erlach;7439 ;3567 ;3545 ;1124 ;
209;Fraubrunnen;27256 ;13874 ;13752 ;4955 ;
210;Frutigen;13685 ;6307 ;6233 ;1638 ;
211;Interlaken;27087 ;12571 ;12483 ;3757 ;
212;Konolfingen;41851 ;20529 ;20329 ;6988 ;
213;Laupen;10897 ;5513 ;5470 ;1776 ;
214;Moutier;15502 ;8310 ;8257 ;1373 ;
215;La Neuveville;4216 ;2162 ;2129 ;561 ;
216;Nidau;29247 ;14640 ;14529 ;4752 ;
217;Niedersimmental;16282 ;7552 ;7497 ;2490 ;
218;Oberhasli;5685 ;2502 ;2482 ;718 ;
219;Obersimmental;6176 ;2703 ;2671 ;679 ;
220;Saanen;5571 ;2425 ;2397 ;659 ;
221;Schwarzenburg;7687 ;3348 ;3314 ;995 ;
222;Seftigen;26679 ;13098 ;12964 ;4120 ;
223;Signau;18594 ;6797 ;6715 ;1877 ;
224;Thun;67843 ;32737 ;32448 ;10781 ;
225;Trachselwald;17786 ;6963 ;6922 ;1893 ;
226;Wangen;19083 ;9225 ;9184 ;2354 ;
301;Entlebuch;13040 ;7379 ;7265 ;1470 ;
302;Hochdorf;39453 ;21236 ;20934 ;5864 ;
303;Luzern;108710 ;60772 ;59952 ;20137 ;
304;Sursee;43189 ;22569 ;22162 ;5899 ;
305;Willisau;31577 ;15729 ;15504 ;3581 ;
400;KtUri;25539 ;12615 ;12269 ;2986 ;
501;Einsiedeln;8990 ;4452 ;4359 ;1040 ;
502;Gersau;1361 ;737 ;721 ;189 ;
503;Höfe;16826 ;8964 ;8767 ;2293 ;
504;Küssnacht;7807 ;4281 ;4209 ;1114 ;
505;March;22419 ;11001 ;10745 ;2609 ;
506;Schwyz;32969 ;18862 ;18382 ;4278 ;
600;KtObwalden;23020 ;11838 ;11221 ;2546 ;
700;KtNidwalden;28453 ;15029 ;14645 ;3177 ;
800;KtGlarus;25027 ;10630 ;10554 ;3035 ;
900;KtZug;67742 ;37677 ;37454 ;10832 ;
1001;La Broye;15343 ;8062 ;7994 ;1692 ;
1002;La Glâne;12535 ;6160 ;6074 ;1183 ;
1003;La Gruyere;26531 ;13661 ;13451 ;2426 ;
1004;La Sarine;53580 ;28196 ;27579 ;7398 ;
1005;See;19878 ;10363 ;10260 ;2749 ;
1006;Sense;28761 ;13768 ;13678 ;3609 ;
1007;La Veveyese;9005 ;4553 ;4478 ;931 ;
1101;Gäu;11405 ;5700 ;5667 ;1261 ;
1102;Tal;9621 ;5054 ;5022 ;957 ;
1103;Bucheggberg;5606 ;2954 ;2942 ;818 ;
1104;Dorneck;12948 ;7031 ;6986 ;2169 ;
1105;Gösgen;14772 ;7815 ;7772 ;2095 ;
1106;Wasseramt;30609 ;15549 ;15473 ;4213 ;
1107;Lebern;29039 ;14529 ;14456 ;3496 ;
1108;Olten;32174 ;16387 ;16283 ;4480 ;
1109;Solothurn;10517 ;5533 ;5468 ;1960 ;
1110;Thierstein;9658 ;4976 ;4949 ;940 ;
1200;KtBasel-Stadt;110912 ;63063 ;62374 ;24043 ;
1301;Arlesheim;100225 ;54020 ;53324 ;18961 ;
1302;Laufen;12209 ;6265 ;6212 ;1597 ;
