Volksabstimmung vom 8 Februar 2004;506;506;
Volksinitiative «Lebenslange Verwahrung für nicht therapierbare. extrem gefährliche Sexual- und Gewaltstraftäter»;
102;Andelfingen;19268 ;9888 ;9691 ;5639 ;
103;Bülach;73149 ;32705 ;32062 ;18900 ;
104;Dielsdorf;44560 ;18332 ;18041 ;10938 ;
105;Hinwil;52857 ;23747 ;23285 ;13535 ;
106;Horgen;71832 ;36296 ;35526 ;19020 ;
107;Meilen;63357 ;33636 ;32875 ;17382 ;
108;Pfäffikon;34699 ;16250 ;15975 ;8996 ;
109;Uster;70314 ;32078 ;31430 ;17334 ;
110;Winterthur;92699 ;46265 ;45122 ;24231 ;
111;Dietikon;44312 ;20124 ;19693 ;11512 ;
112;Zürich;217186 ;101554 ;98962 ;45387 ;
201;Aarberg;24065 ;10009 ;9845 ;5280 ;
202;Aarwangen;28958 ;11784 ;11630 ;6613 ;
203;Bern;168499 ;86312 ;84444 ;39445 ;
204;Biel;32465 ;13330 ;13039 ;6887 ;
205;Büren;15823 ;6096 ;6024 ;3562 ;
206;Burgdorf;32605 ;13747 ;13513 ;7484 ;
207;Courtelary;15460 ;5918 ;5806 ;3611 ;
208;Erlach;7434 ;3119 ;3070 ;1705 ;
209;Fraubrunnen;27212 ;12060 ;11843 ;6380 ;
210;Frutigen;13738 ;4839 ;4719 ;2641 ;
211;Interlaken;27151 ;10624 ;10433 ;6041 ;
212;Konolfingen;41686 ;16823 ;16493 ;8451 ;
213;Laupen;10879 ;4614 ;4540 ;2531 ;
214;Moutier;15458 ;6273 ;6144 ;3876 ;
215;La Neuveville;4214 ;1895 ;1866 ;1077 ;
216;Nidau;29171 ;12742 ;12553 ;7022 ;
217;Niedersimmental;16201 ;6583 ;6467 ;3656 ;
218;Oberhasli;5619 ;2019 ;1980 ;1141 ;
219;Obersimmental;6161 ;2006 ;1960 ;1099 ;
220;Saanen;5583 ;1727 ;1687 ;883 ;
221;Schwarzenburg;7669 ;2686 ;2635 ;1290 ;
222;Seftigen;26588 ;11316 ;11126 ;5976 ;
223;Signau;18500 ;5672 ;5553 ;2902 ;
224;Thun;67643 ;28781 ;28256 ;16019 ;
225;Trachselwald;17727 ;6064 ;5959 ;3250 ;
226;Wangen;18946 ;7586 ;7491 ;4445 ;
301;Entlebuch;13029 ;6152 ;5997 ;3673 ;
302;Hochdorf;39298 ;19175 ;18819 ;10994 ;
303;Luzern;108370 ;54628 ;53553 ;29051 ;
