Volksabstimmung vom 24 September 2006;525;525
Änderung des Asylgesetzes;
1823;Hinterrhein;8813;4243;48.1;4193;2920;69.6
1824;Imboden;12076;5688;47.1;5601;4213;75.2
1825;Inn;6773;2866;42.3;2779;1916;68.9
1826;Landquart;16355;6945;42.5;6841;5136;75.1
1827;Maloja / Maloggia;11072;4806;43.4;4691;3296;70.3
1828;Moesa;5523;2580;46.7;2480;1466;59.1
1829;Plessur;27374;11971;43.7;11701;8332;71.2
1830;Prättigau-Davos;17389;7803;44.9;7655;5630;73.5
1831;Surselva;16538;6881;41.6;6781;4850;71.5
1901;Aarau;44364;21105;47.6;20982;15517;74.0
1902;Baden;76304;36237;47.5;36016;26633;73.9
1903;Bremgarten;42928;20210;47.1;20097;15575;77.5
1904;Brugg;29565;14513;49.1;14388;10980;76.3
1905;Kulm;23828;10671;44.8;10609;8717;82.2
1906;Laufenburg;18937;8173;43.2;8119;5986;73.7
1907;Lenzburg;32315;14454;44.7;14348;11185;78.0
1908;Muri;20201;8905;44.1;8846;6990;79.0
1909;Rheinfelden;26466;11259;42.5;11174;8119;72.7
1910;Zofingen;40935;16601;40.6;16468;12766;77.5
1911;Zurzach;19290;8991;46.6;8941;6995;78.2
2001;Arbon;23962;10768;44.9;10399;7965;76.6
2002;Bischofszell;19652;8353;42.5;8121;6448;79.4
2003;Diessenhofen;4137;2127;51.4;2102;1692;80.5
2004;Frauenfeld;29497;13780;46.7;13459;10236;76.1
2005;Kreuzlingen;21069;9358;44.4;9099;6995;76.9
2006;Münchwilen;24236;11034;45.5;10803;8650;80.1
2007;Steckborn;12024;5577;46.4;5448;4264;78.3
2008;Weinfelden;16746;7582;45.3;7427;5916;79.7
2101;Bellinzona;28185;12205;43.3;11899;7434;62.5
2102;Blenio;4537;1747;38.5;1716;1211;70.6
2103;Leventina;6150;2834;46.1;2779;1875;67.5
2104;Locarno;39296;16677;42.4;16389;10577;64.5
2105;Lugano;82086;37204;45.3;36679;25067;68.3
2106;Mendrisio;31805;15577;49.0;15288;10114;66.2
2107;Riviera;6648;2725;41.0;2677;1862;69.6
2108;Vallemaggia;4150;1618;39.0;1570;943;60.1
2221;Aigle;20196;10281;50.9;10169;6518;64.1
2222;Broye-Vully;20546;10031;48.8;9945;6567;66.0
2223;Gros-de-Vaud;22707;11990;52.8;11824;7333;62.0
2224;Jura-Nord vaudois;46788;24256;51.8;23919;14297;59.8
2225;Lausanne;74080;38336;51.7;37647;18681;49.6
2226;Lavaux-Oron;33518;18589;55.5;18340;10437;56.9
2227;Morges;41399;22120;53.4;21846;12142;55.6
2228;Nyon;43467;23562;54.2;23205;13172;56.8
2229;Ouest lausannois;29440;14858;50.5;14710;8722;59.3
2230;Riviera-Pays-d'Enhaut;40793;20590;50.5;20364;11668;57.3
2301;Brig;17859;7759;43.4;7512;5528;73.6
2302;Conthey;15009;7391;49.2;7066;4615;65.3
2303;Entremont;8888;4077;45.9;3986;2368;59.4
2304;Goms;3617;1568;43.4;1526;1044;68.4
2305;Hérens;7794;4157;53.3;4058;2487;61.3
2306;Leuk;8674;4241;48.9;4184;2984;71.3
