Volksabstimmung vom 2 Dezember 2001;480;480
Bundesbeschluss über eine Schuldenbremse;
102;Andelfingen;18557 ;8373 ;8177 ;6977 ;1705;Werdenberg;20821 ;7854 ;7760 ;6775  
103;Bülach;70173 ;26186 ;25657 ;22247 ;1706;Sargans;22947 ;8685 ;8634 ;7574  
104;Dielsdorf;43440 ;14842 ;14595 ;12639 ;1707;Gaster;8569 ;2617 ;2604 ;2355  
105;Hinwil;51123 ;20019 ;19572 ;16813 ;1708;See;29032 ;10888 ;10805 ;9741  
106;Horgen;71095 ;31500 ;30641 ;26705 ;1709;Obertoggenburg;7952 ;3030 ;2993 ;2596  
107;Meilen;61365 ;28135 ;27504 ;24525 ;1710;Neutoggenburg;9340 ;3503 ;3466 ;3050  
108;Pfäffikon;33755 ;13328 ;13027 ;11241 ;1711;Alttoggenburg;9692 ;3423 ;3389 ;3057  
109;Uster;68911 ;25899 ;25280 ;21760 ;1712;Untertoggenburg;23340 ;8469 ;8392 ;7557  
110;Winterthur;89984 ;40488 ;39211 ;33754 ;1713;Wil;21115 ;8204 ;8152 ;7381  
111;Dietikon;44283 ;16837 ;16557 ;14647 ;1714;Gossau;19509 ;7625 ;7572 ;6915  
112;Zürich;216948 ;83578 ;80740 ;65388 ;1821;Albula;6250 ;1889 ;1863 ;1596  
201;Aarberg;23531 ;8607 ;8473 ;7553 ;1822;Bernina;3735 ;1305 ;1274 ;1085  
202;Aarwangen;28671 ;10950 ;10811 ;9469 ;1823;Hinterrhein;8547 ;2860 ;2805 ;2420  
203;Bern;168478 ;69093 ;67381 ;57019 ;1824;Imboden;11435 ;3600 ;3528 ;3068  
204;Biel;32265 ;10648 ;10330 ;8254 ;1825;Inn;6590 ;1969 ;1938 ;1629  
205;Büren;15667 ;5487 ;5411 ;4705 ;1826;Landquart;15228 ;4554 ;4448 ;3842  
206;Burgdorf;32178 ;11998 ;11757 ;10152 ;1827;Maloja;11075 ;3635 ;3545 ;3084  
207;Courtelary;15293 ;6014 ;5842 ;4635 ;1828;Moesa;5457 ;1826 ;1755 ;1371  
208;Erlach;7321 ;2870 ;2807 ;2510 ;1829;Plessur;26525 ;10238 ;9747 ;8430  
209;Fraubrunnen;26880 ;10608 ;10444 ;8996 ;1830;Prättigau-Davos;17232 ;5630 ;5448 ;4793  
210;Frutigen;13491 ;5636 ;5541 ;4888 ;1831;Surselva;16482 ;5119 ;5017 ;4259  
211;Interlaken;26743 ;10464 ;10253 ;9052 ;1901;Aarau;42304 ;15831 ;15527 ;13191  
212;Konolfingen;40918 ;15630 ;15311 ;13578 ;1902;Baden;73208 ;24733 ;24390 ;21613  
213;Laupen;10783 ;4071 ;4015 ;3589 ;1903;Bremgarten;40406 ;12610 ;12486 ;10884  
214;Moutier;15489 ;6973 ;6788 ;5290 ;1904;Brugg;28324 ;10188 ;10031 ;8606  
215;La Neuveville;4132 ;1709 ;1629 ;1322 ;1905;Kulm;23263 ;7325 ;7226 ;6128  
216;Nidau;28613 ;10853 ;10662 ;9264 ;1906;Laufenburg;17726 ;5704 ;5630 ;4854  
217;Niedersimmental;15990 ;6298 ;6184 ;5380 ;1907;Lenzburg;30298 ;10127 ;10006 ;8630  
218;Oberhasli;5649 ;2085 ;2054 ;1766 ;1908;Muri;19016 ;5759 ;5686 ;4998  
219;Obersimmental;6133 ;2338 ;2306 ;2007 ;1909;Rheinfelden;24911 ;7728 ;7631 ;6677  
220;Saanen;5525 ;1811 ;1778 ;1580 ;1910;Zofingen;38993 ;12131 ;11918 ;10150  
221;Schwarzenburg;7465 ;2630 ;2570 ;2160 ;1911;Zurzach;18812 ;5999 ;5963 ;5278  
222;Seftigen;26136 ;10466 ;10274 ;8956 ;2001;Arbon;22833 ;7605 ;7370 ;6426  
223;Signau;18392 ;5485 ;5377 ;4679 ;2002;Bischofszell;18731 ;5912 ;5729 ;5170  
224;Thun;66137 ;27329 ;26791 ;23594 ;2003;Diessenhofen;3961 ;1399 ;1373 ;1176  
225;Trachselwald;17699 ;5567 ;5470 ;4770 ;2004;Frauenfeld;27863 ;10367 ;10119 ;8895  
226;Wangen;18832 ;6867 ;6788 ;5910 ;2005;Kreuzlingen;20534 ;7570 ;7292 ;6448  
301;Entlebuch;12962 ;5344 ;5250 ;4480 ;2006;Münchwilen;22568 ;8520 ;8306 ;7370  
302;Hochdorf;38602 ;16912 ;16605 ;14940 ;2007;Steckborn;11212 ;4597 ;4432 ;3984  
303;Luzern;107069 ;44548 ;43669 ;38399 ;2008;Weinfelden;15947 ;6274 ;6103 ;5537  
304;Sursee;41825 ;16641 ;16371 ;14841 ;2101;Bellinzona;27347 ;8334 ;7927 ;5875  
305;Willisau;31160 ;12181 ;11954 ;10537 ;2102;Blenio;4495 ;1428 ;1378 ;1068  
306;LU-Auslandschweizer;2488 ;1286 ;1251 ;1151 ;2103;Leventina;6224 ;2417 ;2296 ;1750  
400;Uri;25431 ;9961 ;9603 ;7829 ;2104;Locarno;38018 ;11257 ;10759 ;8232  
501;Einsiedeln;8717 ;3867 ;3735 ;3251 ;2105;Lugano;78639 ;25446 ;24439 ;18368  
502;Gersau;1310 ;549 ;531 ;458 ;2106;Mendrisio;31058 ;9997 ;9563 ;6820  
503;Höfe;16159 ;7757 ;7485 ;6641 ;2107;Riviera;6553 ;1802 ;1719 ;1265  
504;Küssnacht;7531 ;3509 ;3345 ;3035 ;2108;Vallemaggia;3987 ;1263 ;1190 ;880  
505;March;21490 ;8375 ;8124 ;7196 ;2201;Aigle;19539 ;5053 ;4917 ;4092  
506;Schwyz;32180 ;16034 ;15337 ;12952 ;2202;Aubonne;7109 ;2320 ;2270 ;1916  
600;Obwalden;22541 ;9812 ;9512 ;8329 ;2203;Avenches;4124 ;1103 ;1085 ;924  
700;Nidwalden;27492 ;11262 ;10911 ;9776 ;2204;Cossonay;13324 ;3846 ;3718 ;3115  
800;Glarus;24607 ;8764 ;8638 ;7474 ;2205;Echallens;13367 ;3863 ;3754 ;3166  
900;Zug;65684 ;29183 ;28836 ;25615 ;2206;Grandson;8309 ;2387 ;2319 ;1835  
1001;La Brove;14710 ;7124 ;6940 ;5917 ;2207;Lausanne;110816 ;33101 ;31867 ;25689  
1002;La Glâne;12144 ;4024 ;3934 ;3315 ;2208;Lavaux;14982 ;5393 ;5199 ;4367  
1003;La Gruyère;25470 ;12772 ;12379 ;10698 ;2209;Morges;38112 ;11490 ;11157 ;9330  
1004;La Sarine;52462 ;17892 ;17284 ;14593 ;2210;Moudon;7271 ;2167 ;2102 ;1747  
1005;See/Lac;19155 ;7116 ;7006 ;6182 ;2211;Nyon;33436 ;9878 ;9593 ;8193  
1006;Sense;28028 ;8776 ;8675 ;7674 ;2212;Orbe;12026 ;3622 ;3498 ;2812  
1007;La Veveyse;8692 ;2953 ;2886 ;2490 ;2213;Oron;6721 ;1914 ;1858 ;1451  
1101;Gäu;11188 ;4012 ;3974 ;3454 ;2214;Payerne;8965 ;2428 ;2367 ;1998  
1102;Thal;9559 ;3823 ;3786 ;3197 ;2215;Pays-d'Enhaut;2955 ;785 ;766 ;664  
1103;Bucheggberg;5518 ;2328 ;2300 ;1958 ;2216;Rolle;6328 ;1998 ;1937 ;1653  
1104;Dorneck;12465 ;5156 ;5052 ;4396 ;2217;La Vallée;4049 ;1168 ;1135 ;874  
