Volksabstimmung vom 7 März 2010;Abst-Nr;549;
Volksinitiative «Gegen Tierquälerei und für einen besseren Rechtsschutz der Tiere»;
101;Affoltern;32090;16053;50.0;15724;5469;10255;34.8;
102;Andelfingen;20924;11328;54.1;11134;3409;7725;30.6;
103;Bülach;80943;35688;44.1;35106;11384;23722;32.4;
104;Dielsdorf;49021;21081;43.0;20738;7009;13729;33.8;
105;Hinwil;57896;25605;44.2;25256;8227;17029;32.6;
106;Horgen;73565;35418;48.1;34773;11377;23396;32.7;
107;Meilen;65427;33324;50.9;32834;10663;22171;32.5;
108;Pfäffikon;37481;18387;49.1;18149;6041;12108;33.3;
109;Uster;75814;35704;47.1;34939;12323;22616;35.3;
110;Winterthur;100997;51144;50.6;50214;18600;31614;37.0;
111;Dietikon;46148;19249;41.7;18870;6712;12158;35.6;
112;Zürich;227262;101146;44.5;98163;43196;54967;44.0;
241;Jura bernois;35704;16691;46.7;16423;3124;13299;19.0;
242;Biel/Bienne;61423;25782;42.0;25355;9180;16175;36.2;
243;Seeland;50303;21039;41.8;20837;6355;14482;30.5;
244;Oberaargau;56288;22334;39.7;22165;5959;16206;26.9;
245;Emmental;71383;27079;37.9;26791;6865;19926;25.6;
246;Bern-Mittelland;277631;127681;46.0;125695;42807;82888;34.1;
247;Thun;79050;33480;42.4;33105;9745;23360;29.4;
248;Obersimmental-Saanen;12029;4359;36.2;4312;759;3553;17.6;
249;Frutigen-Niedersimmental;30040;11879;39.5;11732;2763;8969;23.6;
250;Interlaken-Oberhasli;33764;12834;38.0;12696;3439;9257;27.1;
301;Entlebuch;13395;6229;46.5;6160;624;5536;10.1;
302;Hochdorf;41924;18905;45.1;18711;4084;14627;21.8;
303;Luzern;114861;50996;44.4;50191;15290;34901;30.5;
304;Sursee;47660;21386;44.9;21025;3849;17176;18.3;
305;Willisau;33536;14202;42.3;13981;2168;11813;15.5;
400;Kt Uri;25651;11982;46.7;11814;2169;9645;18.4;
501;Einsiedeln;9845;4564;46.4;4562;831;3731;18.2;
502;Gersau;1408;722;51.3;717;137;580;19.1;
503;Höfe;17660;8435;47.8;8387;2073;6314;24.7;
504;Küssnacht (SZ);8037;3950;49.1;3920;790;3130;20.2;
505;March;24911;10510;42.2;10461;2474;7987;23.6;
506;Schwyz;34885;16353;46.9;16253;2879;13374;17.7;
600;Kt Obwalden;24783;14004;56.5;13631;2213;11418;16.2;
700;Kt Nidwalden;30039;17027;56.7;16565;3161;13404;19.1;
800;Kt Glarus;25792;10694;41.5;10613;3129;7484;29.5;
900;Kt Zug;71005;34897;49.1;34656;9038;25618;26.1;
1001;La Broye;17488;8654;49.5;8571;1407;7164;16.4;
1002;La Glâne;13779;6559;47.6;6475;1057;5418;16.3;
1003;La Gruyère;29284;14393;49.1;14106;1974;12132;14.0;
1004;La Sarine;57727;28844;50.0;28404;5658;22746;19.9;
1005;See / Lac;21696;10184;46.9;10087;2626;7461;26.0;
1006;Sense;30525;14207;46.5;14074;3094;10980;22.0;
1007;La Veveyse;10216;4940;48.4;4880;809;4071;16.6;
1101;Gäu;12037;5028;41.8;4998;1374;3624;27.5;
1102;Thal;9626;4352;45.2;4336;873;3463;20.1;
1103;Bucheggberg;5894;2808;47.6;2790;677;2113;24.3;
1104;Dorneck;13359;6437;48.2;6369;2460;3909;38.6;
1105;Gösgen;15148;6738;44.5;6690;2113;4577;31.6;
1106;Wasseramt;31358;14133;45.1;14013;4377;9636;31.2;
1107;Lebern;29308;12726;43.4;12622;3945;8677;31.3;
1108;Olten;32973;14260;43.2;14139;4523;9616;32.0;
1109;Solothurn;10863;4583;42.2;4538;1559;2979;34.4;
1110;Thierstein;10002;4347;43.5;4325;1269;3056;29.3;
1200;Kt Basel-Stadt;107589;54795;50.9;53600;23790;29810;44.4;
1301;Arlesheim;102370;47210;46.1;46335;17496;28839;37.8;
1302;Laufen;12999;5448;41.9;5351;1899;3452;35.5;
1303;Liestal;35667;15080;42.3;14721;5218;9503;35.4;
1304;Sissach;23912;9987;41.8;9813;3205;6608;32.7;
1305;Waldenburg;10789;4326;40.1;4288;1295;2993;30.2;
1401;Oberklettgau;2958;1894;64.0;1807;549;1258;30.4;
1402;Reiat;5334;3765;70.6;3525;1019;2506;28.9;
1403;Schaffhausen;31702;19123;60.3;17844;6619;11225;37.1;
1404;Schleitheim;2178;1314;60.3;1254;272;982;21.7;
1405;Stein;3519;2066;58.7;2007;697;1310;34.7;
1406;Unterklettgau;3326;2065;62.1;1991;520;1471;26.1;
1501;Hinterland;16430;7217;43.9;7180;1719;5461;23.9;
1502;Mittelland;11778;6105;51.8;6077;1783;4294;29.3;
1503;Vorderland;9234;4270;46.2;4240;1397;2843;32.9;
1600;Kt Appenzell Innerrhoden;11031;4061;36.8;3996;637;3359;15.9;
1721;St Gallen;74508;33352;44.8;33004;11117;21887;33.7;
1722;Rorschach;24856;10874;43.7;10815;3347;7468;30.9;
1723;Rheintal;39689;15449;38.9;15389;3847;11542;25.0;
1724;Werdenberg;21113;8590;40.7;8540;2276;6264;26.7;
1725;Sarganserland;24305;9500;39.1;9449;2095;7354;22.2;
1726;See-Gaster;41063;16682;40.6;16583;4136;12447;24.9;
1727;Toggenburg;29928;12710;42.5;12639;2902;9737;23.0;
1728;Wil;44522;19451;43.7;19327;5274;14053;27.3;
1821;Albula;6010;2225;37.0;2185;580;1605;26.5;
1822;Bernina;3733;1562;41.8;1542;305;1237;19.8;
1823;Hinterrhein;9022;3771;41.8;3728;1093;2635;29.3;
1824;Imboden;12561;5447;43.4;5353;1769;3584;33.0;
1825;Inn;6794;2389;35.2;2367;685;1682;28.9;
1826;Landquart;16894;6367;37.7;6265;2002;4263;32.0;
1827;Maloja / Maloggia;11260;4777;42.4;4684;1466;3218;31.3;
1828;Moësa;5628;2975;52.9;2880;938;1942;32.6;
1829;Plessur;28114;10805;38.4;10527;3975;6552;37.8;
1830;Prättigau-Davos;17873;6427;36.0;6316;1862;4454;29.5;
1831;Surselva;16570;6222;37.5;6150;1458;4692;23.7;
1901;Aarau;45434;19878;43.8;19727;6635;13092;33.6;
1902;Baden;78564;33851;43.1;33446;10848;22598;32.4;
1903;Bremgarten;43952;18298;41.6;18178;5714;12464;31.4;
1904;Brugg;29965;13525;45.1;13419;4230;9189;31.5;
1905;Kulm;24047;9660;40.2;9596;2762;6834;28.8;
1906;Laufenburg;19501;7974;40.9;7912;2224;5688;28.1;
1907;Lenzburg;34073;14001;41.1;13922;4291;9631;30.8;
1908;Muri;21103;8623;40.9;8576;2096;6480;24.4;
