Volksabstimmung vom 4 März 2001;474;474
Volksinitiative «Ja zu Europa!»;
102;Andelfingen;18437 ;11571 ;11467 ;1849 ;1705;Werdenberg;20716 ;11907 ;11865 ;1531
103;Bülach;69508 ;38279 ;37897 ;7270 ;1706;Sargans;22932 ;12486 ;12452 ;1280
104;Dielsdorf;42983 ;23103 ;22869 ;4001 ;1707;Gaster;8487 ;4390 ;4386 ;470
105;Hinwil;50412 ;27894 ;27573 ;4909 ;1708;See;28603 ;15706 ;15645 ;2589
106;Horgen;70819 ;40808 ;40234 ;8895 ;1709;Obertoggenburg;7963 ;4585 ;4568 ;566
107;Meilen;60619 ;37847 ;37422 ;8062 ;1710;Neutoggenburg;9329 ;5392 ;5369 ;787
108;Pfäffikon;33280 ;19327 ;19145 ;3535 ;1711;Alttoggenburg;9675 ;5369 ;5350 ;552
109;Uster;68333 ;37818 ;37342 ;8490 ;1712;Untertoggenburg;23195 ;12659 ;12622 ;1646
110;Winterthur;89160 ;53895 ;52914 ;12586 ;1713;Wil;20922 ;12074 ;12027 ;1638
111;Dietikon;44299 ;23754 ;23465 ;4648 ;1714;Gossau;19436 ;11094 ;11070 ;1170
112;Zürich;215846 ;110263 ;106204 ;34438 ;1821;Albula;6279 ;2929 ;2916 ;369
201;Aarberg;23376 ;12824 ;12733 ;2842 ;1822;Bernina;3753 ;2005 ;1987 ;216
202;Aarwangen;28649 ;15411 ;15320 ;2486 ;1823;Hinterrhein;8486 ;4419 ;4361 ;579
203;Bern;168815 ;92417 ;91251 ;30506 ;1824;Imboden;11282 ;5832 ;5784 ;820
204;Biel;32242 ;14445 ;14258 ;5316 ;1825;Inn;6590 ;3217 ;3178 ;475
205;Büren;15704 ;8189 ;8136 ;1581 ;1826;Landquart;15073 ;7288 ;7195 ;1031
206;Burgdorf;31985 ;16959 ;16812 ;3354 ;1827;Maloja;11150 ;5108 ;5052 ;801
207;Courtelary;15350 ;8770 ;8665 ;2851 ;1828;Moesa;5489 ;2794 ;2758 ;303
208;Erlach;7207 ;4079 ;4041 ;758 ;1829;Plessur;26474 ;13114 ;12676 ;2333
209;Fraubrunnen;26646 ;14435 ;14280 ;3311 ;1830;Prättigau-Davos;17348 ;8242 ;8101 ;1003
210;Frutigen;13407 ;7736 ;7701 ;918 ;1831;Surselva;16520 ;7882 ;7821 ;960
211;Interlaken;26793 ;14072 ;13989 ;1965 ;1901;Aarau;42181 ;22601 ;22446 ;4373
212;Konolfingen;40717 ;22872 ;22685 ;4429 ;1902;Baden;72452 ;36879 ;36635 ;7403
213;Laupen;10704 ;5928 ;5882 ;1142 ;1903;Bremgarten;39975 ;20858 ;20764 ;3328
214;Moutier;15477 ;8988 ;8886 ;3180 ;1904;Brugg;28253 ;15299 ;15207 ;2668
215;La Neuveville;4089 ;2311 ;2289 ;966 ;1905;Kulm;23198 ;12054 ;12011 ;1218
216;Nidau;28514 ;15735 ;15611 ;4067 ;1906;Laufenburg;17549 ;9508 ;9466 ;1515
217;Niedersimmental;15913 ;8882 ;8827 ;1349 ;1907;Lenzburg;30092 ;15806 ;15722 ;2504
218;Oberhasli;5664 ;2935 ;2922 ;329 ;1908;Muri;18813 ;9829 ;9787 ;1208
219;Obersimmental;6156 ;3348 ;3335 ;286 ;1909;Rheinfelden;24698 ;11997 ;11924 ;2406
220;Saanen;5516 ;2829 ;2817 ;272 ;1910;Zofingen;38701 ;19055 ;18980 ;2976
221;Schwarzenburg;7431 ;3807 ;3776 ;616 ;1911;Zurzach;18731 ;10224 ;10180 ;1520
222;Seftigen;25904 ;14619 ;14495 ;2571 ;2001;Arbon;22695 ;11910 ;11648 ;1755
223;Signau;18404 ;9443 ;9383 ;1104 ;2002;Bischofszell;18633 ;9348 ;9152 ;1044
224;Thun;65562 ;36104 ;35799 ;6266 ;2003;Diessenhofen;3942 ;2227 ;2223 ;252
225;Trachselwald;17728 ;8938 ;8887 ;1120 ;2004;Frauenfeld;27660 ;14834 ;14610 ;2446
226;Wangen;18727 ;10136 ;10083 ;1451 ;2005;Kreuzlingen;20416 ;10527 ;10066 ;1554
301;Entlebuch;12918 ;8377 ;8303 ;514 ;2006;Münchwilen;22309 ;12134 ;11915 ;1372
302;Hochdorf;38360 ;22558 ;22289 ;2975 ;2007;Steckborn;11152 ;6406 ;6287 ;763
303;Luzern;106501 ;61373 ;60631 ;12488 ;2008;Weinfelden;15871 ;8760 ;8590 ;1006
304;Sursee;41445 ;24992 ;24550 ;2957 ;2101;Bellinzona;27154 ;13527 ;13347 ;2414
305;Willisau;31027 ;18440 ;18183 ;1747 ;2102;Blenio;4461 ;2103 ;2079 ;243
306;LU-Auslandschweizer;2371 ;1338 ;1308 ;488 ;2103;Leventina;6235 ;3207 ;3178 ;402
400;Uri;25429 ;13318 ;13013 ;1220 ;2104;Locarno;37803 ;17398 ;17191 ;2833
501;Einsiedeln;8706 ;5804 ;5639 ;537 ;2105;Lugano;78131 ;38831 ;38441 ;6042
502;Gersau;1295 ;784 ;751 ;68 ;2106;Mendrisio;30793 ;16116 ;15949 ;2375
503;Höfe;15894 ;9356 ;8957 ;1210 ;2107;Riviera;6521 ;2683 ;2651 ;369
504;Küssnacht;7433 ;4738 ;4548 ;609 ;2108;Vallemaggia;4002 ;2051 ;2030 ;321
505;March;21201 ;12032 ;11679 ;1351 ;2201;Aigle;19489 ;8228 ;8103 ;2306
506;Schwyz;31956 ;20827 ;20088 ;1734 ;2202;Aubonne;7107 ;3457 ;3414 ;1200
600;Obwalden;22352 ;13178 ;12933 ;1448 ;2203;Avenches;4089 ;1762 ;1747 ;566
700;Nidwalden;27267 ;16553 ;16274 ;1759 ;2204;Cossonay;13309 ;6404 ;6299 ;2499
800;Glarus;24566 ;13034 ;12965 ;1722 ;2205;Echallens;13174 ;6573 ;6466 ;2265
900;Zug;65236 ;41168 ;40904 ;7003 ;2206;Grandson;8215 ;3552 ;3512 ;1294
1001;La Brove;14541 ;10187 ;10033 ;2512 ;2207;Lausanne;110375 ;49672 ;48916 ;22275
1002;La Glâne;12052 ;7755 ;7628 ;1654 ;2208;Lavaux;14951 ;7789 ;7664 ;3021
1003;La Gruyère;25193 ;15760 ;15542 ;3832 ;2209;Morges;37912 ;18414 ;18115 ;7426
1004;La Sarine;52154 ;30538 ;29974 ;11189 ;2210;Moudon;7201 ;3443 ;3385 ;1097
1005;See/Lac;18906 ;11386 ;11281 ;2749 ;2211;Nyon;33196 ;15414 ;15186 ;5565
1006;Sense;27867 ;16456 ;16334 ;2991 ;2212;Orbe;11943 ;5202 ;5131 ;1846
1007;La Veveyse;8576 ;5958 ;5867 ;1432 ;2213;Oron;6694 ;3178 ;3128 ;1144
1101;Gäu;11140 ;6916 ;6887 ;936 ;2214;Payerne;8970 ;3722 ;3691 ;1088
1102;Thal;9566 ;6454 ;6356 ;796 ;2215;Pays-d'Enhaut;2968 ;1270 ;1258 ;297
1103;Bucheggberg;5458 ;3493 ;3460 ;646 ;2216;Rolle;6285 ;3058 ;3023 ;1133
1104;Dorneck;12336 ;7691 ;7587 ;1683 ;2217;La Vallée;4073 ;1987 ;1959 ;695
1105;Gösgen;14667 ;8826 ;8764 ;1618 ;2218;Vevey;37309 ;16899 ;16628 ;6497
1106;Wasseramt;29955 ;16439 ;16320 ;3362 ;2219;Yverdon;20465 ;9281 ;9138 ;3381
1107;Lebern;29001 ;15924 ;15779 ;3358 ;2301;Brig;17143 ;9668 ;9542 ;1450
1108;Olten;31949 ;18212 ;17971 ;3672 ;2302;Conthey;14143 ;9693 ;9508 ;1910
1109;Solothurn;10598 ;5936 ;5824 ;1800 ;2303;Entremont;8503 ;5149 ;5057 ;772
1110;Thierstein;9475 ;5702 ;5656 ;844 ;2304;Goms;3684 ;2195 ;2137 ;344
1200;Basel-Stadt;115063 ;70654 ;69786 ;20336 ;2305;Hérens;7233 ;5305 ;5234 ;1223
1201;BS-Korrespondenzweg;3724 ;0 ;0 ;0 ;2306;Leuk;8530 ;6617 ;6460 ;798
1301;Arlesheim;99252 ;58603 ;57781 ;13871 ;2307;Martigny;21705 ;13866 ;13593 ;2819
1302;Laufen;11736 ;6482 ;6430 ;1275 ;2308;Monthey;20719 ;11726 ;11558 ;2931
1303;Liestal;33669 ;18465 ;18256 ;4212 ;2309;Raron;8145 ;5445 ;5326 ;705
1304;Sissach;21509 ;11947 ;11819 ;2287 ;2310;Saint-Maurice;7198 ;4910 ;4774 ;1302
1305;Waldenburg;10225 ;5451 ;5403 ;927 ;2311;Sierre;25532 ;16360 ;16068 ;3959
1401;Oberklettgau;2959 ;2106 ;2071 ;298 ;2312;Sion;23995 ;14508 ;14237 ;3871
1402;Reiat;4968 ;3767 ;3697 ;450 ;2313;Visp;18113 ;10846 ;10654 ;1705
1403;Schaffhausen;31591 ;21635 ;20944 ;4170 ;2401;Boudry;23470 ;16770 ;16499 ;7394
1404;Schleitheim;2226 ;1439 ;1424 ;129 ;2402;La Chaux-de-Fonds;23356 ;15524 ;15271 ;6756
1405;Stein;3267 ;2244 ;2221 ;397 ;2403;Le Locle;9400 ;6754 ;6639 ;2598
