Volksabstimmung vom 5 Juni 2005;517;517;
Bundesbeschluss über die Genehmigung und die Umsetzung der bilateralen Abkommen;
101;Affoltern;29606 ;18649 ;18367 ;10586 ;
102;Andelfingen;19654 ;12809 ;12652 ;5974 ;
103;Bülach;74447 ;43925 ;43302 ;22367 ;
104;Dielsdorf;45652 ;26123 ;25757 ;12361 ;
105;Hinwil;53727 ;31253 ;30818 ;15021 ;
106;Horgen;72206 ;45174 ;44209 ;25941 ;
107;Meilen;63710 ;41228 ;40551 ;24510 ;
108;Pfäffikon;35361 ;21900 ;21618 ;11027 ;
109;Uster;71207 ;41953 ;41362 ;23558 ;
110;Winterthur;94335 ;58474 ;56949 ;33474 ;
111;Dietikon;44479 ;25546 ;25110 ;13354 ;
112;Zürich;218004 ;125567 ;122445 ;82387 ;
201;Aarberg;24407 ;12510 ;12381 ;6939 ;
202;Aarwangen;29238 ;15059 ;14945 ;7158 ;
203;Bern;168807 ;95851 ;94731 ;66900 ;
204;Biel;32444 ;15380 ;15190 ;10169 ;
205;Büren;15921 ;7380 ;7329 ;3849 ;
206;Burgdorf;32877 ;16455 ;16307 ;8870 ;
207;Courtelary;15469 ;7788 ;7686 ;4213 ;
208;Erlach;7495 ;3794 ;3755 ;2004 ;
209;Fraubrunnen;27519 ;14396 ;14283 ;8527 ;
210;Frutigen;13891 ;7685 ;7596 ;2555 ;
211;Interlaken;27255 ;13577 ;13465 ;6236 ;
212;Konolfingen;42111 ;22077 ;21880 ;11816 ;
213;Laupen;11032 ;5725 ;5676 ;3136 ;
214;Moutier;15561 ;8108 ;8022 ;4339 ;
215;La Neuveville;4251 ;2272 ;2239 ;1603 ;
216;Nidau;29580 ;14872 ;14693 ;8744 ;
217;Niedersimmental;16491 ;8161 ;8090 ;3878 ;
218;Oberhasli;5683 ;2920 ;2885 ;1115 ;
219;Obersimmental;6132 ;2892 ;2870 ;1045 ;
220;Saanen;5580 ;2656 ;2633 ;930 ;
221;Schwarzenburg;7735 ;3595 ;3500 ;1583 ;
222;Seftigen;26969 ;14261 ;14135 ;7198 ;
223;Signau;18693 ;8095 ;8020 ;3207 ;
224;Thun;68546 ;34786 ;34427 ;17738 ;
225;Trachselwald;17839 ;8161 ;8079 ;3190 ;
226;Wangen;19251 ;9931 ;9878 ;4691 ;
301;Entlebuch;13101 ;8539 ;8424 ;2512 ;
302;Hochdorf;39900 ;24453 ;24055 ;11252 ;
303;Luzern;109532 ;67809 ;66860 ;37973 ;
304;Sursee;43838 ;27693 ;27174 ;12643 ;
305;Willisau;31636 ;19427 ;19095 ;7535 ;
400;KtUri;25577 ;13676 ;13520 ;5235 ;
501;Einsiedeln;9128 ;5565 ;5429 ;2086 ;
502;Gersau;1355 ;845 ;830 ;361 ;
503;Höfe;16982 ;10442 ;10157 ;4611 ;
504;Küssnacht;7810 ;5190 ;5060 ;2503 ;
505;March;22646 ;13381 ;13050 ;4581 ;
506;Schwyz;33286 ;21535 ;20980 ;6993 ;
600;KtObwalden;23200 ;14173 ;13674 ;5706 ;
