Volksabstimmung vom 28 November 2004;515;515;
Bundesbeschluss über eine neue Finanzordnung;
102;Andelfingen;19549 ;8154 ;7881 ;6035 ;
103;Bülach;73903 ;25690 ;24912 ;18731 ;
104;Dielsdorf;45307 ;14423 ;13964 ;10223 ;
105;Hinwil;53294 ;19876 ;19266 ;14277 ;
106;Horgen;71936 ;29531 ;28584 ;22169 ;
107;Meilen;63531 ;27528 ;26722 ;21109 ;
108;Pfäffikon;35089 ;14022 ;13552 ;10358 ;
109;Uster;70876 ;24787 ;24072 ;18509 ;
110;Winterthur;93804 ;37541 ;36110 ;27255 ;
111;Dietikon;44352 ;15308 ;14903 ;11448 ;
112;Zürich;217481 ;78975 ;75308 ;59898 ;
201;Aarberg;24333 ;9125 ;8805 ;7002 ;
202;Aarwangen;29136 ;9294 ;9051 ;6851 ;
203;Bern;168715 ;76050 ;72837 ;61061 ;
204;Biel;32415 ;9213 ;8798 ;6741 ;
205;Büren;15909 ;4469 ;4354 ;3331 ;
206;Burgdorf;32748 ;12471 ;11986 ;9434 ;
207;Courtelary;15516 ;5245 ;4851 ;3203 ;
208;Erlach;7482 ;2394 ;2337 ;1887 ;
209;Fraubrunnen;27412 ;10189 ;9865 ;7905 ;
210;Frutigen;13814 ;4854 ;4628 ;3355 ;
211;Interlaken;27166 ;9446 ;9093 ;6802 ;
212;Konolfingen;42046 ;15231 ;14680 ;11825 ;
213;Laupen;11007 ;3690 ;3559 ;2905 ;
214;Moutier;15566 ;4984 ;4629 ;2947 ;
215;La Neuveville;4269 ;1794 ;1611 ;1152 ;
216;Nidau;29430 ;9157 ;8900 ;6964 ;
217;Niedersimmental;16382 ;4893 ;4734 ;3755 ;
218;Oberhasli;5689 ;1568 ;1517 ;1106 ;
219;Obersimmental;6182 ;1771 ;1703 ;1301 ;
220;Saanen;5610 ;1464 ;1395 ;1083 ;
221;Schwarzenburg;7715 ;2267 ;2193 ;1683 ;
222;Seftigen;26805 ;10731 ;10245 ;8068 ;
223;Signau;18627 ;5422 ;5188 ;3981 ;
224;Thun;68152 ;22237 ;21494 ;16552 ;
225;Trachselwald;17839 ;5045 ;4836 ;3683 ;
226;Wangen;19190 ;6092 ;5937 ;4433 ;
301;Entlebuch;13072 ;5988 ;5812 ;3439 ;
302;Hochdorf;39763 ;17676 ;17221 ;11863 ;
303;Luzern;109106 ;48187 ;46780 ;34470 ;
304;Sursee;43522 ;20251 ;19541 ;13252 ;
305;Willisau;31684 ;14067 ;13648 ;8636 ;
400;KtUri;25599 ;8995 ;8647 ;6529 ;
501;Einsiedeln;9028 ;3285 ;3172 ;1871 ;
502;Gersau;1372 ;499 ;485 ;248 ;
503;Höfe;16998 ;6913 ;6659 ;3931 ;
504;Küssnacht;7826 ;3260 ;3138 ;1837 ;
505;March;22533 ;7365 ;7171 ;3988 ;
506;Schwyz;33167 ;13981 ;13496 ;6968 ;
600;KtObwalden;23081 ;9397 ;8878 ;6254 ;
700;KtNidwalden;28644 ;10853 ;10430 ;6470 ;
800;KtGlarus;25002 ;7523 ;7362 ;5156 ;
900;KtZug;68043 ;35514 ;34958 ;17003 ;
1001;La Broye;15503 ;4915 ;4649 ;3220 ;
1002;La Glâne;12604 ;3397 ;3189 ;2137 ;
1003;La Gruyere;26841 ;7546 ;7093 ;4947 ;
1004;La Sarine;53905 ;18397 ;17369 ;13322 ;
1005;See;20123 ;6724 ;6561 ;5007 ;
1006;Sense;28997 ;8698 ;8512 ;6276 ;
1007;La Veveyese;9116 ;2619 ;2448 ;1668 ;
