Volksabstimmung vom 8 Februar 2004;505;505;
Obligationenrecht (Miete) Änderung;
1727;Wahlkreis Toggenburg;29607 ;12178 ;11793 ;5364 ;
1728;Wahlkreis Wil;42704 ;18133 ;17757 ;7733 ;
1821;Albula;6305 ;1909 ;1852 ;944 ;
1822;Bernina;3672 ;1398 ;1308 ;543 ;
1823;Hinterrhein;8658 ;3353 ;3200 ;1637 ;
1824;Imboden;11675 ;4560 ;4397 ;2159 ;
1825;Inn;6699 ;2135 ;2049 ;1097 ;
1826;Landquart;15678 ;5716 ;5409 ;2542 ;
1827;Maloja;11110 ;3955 ;3805 ;1970 ;
1828;Moesa;5482 ;2232 ;2017 ;825 ;
1829;Plessur;27144 ;11079 ;10494 ;4462 ;
1830;Prättigau-Davos;17410 ;5417 ;5201 ;2612 ;
1831;Surselva;16525 ;5015 ;4813 ;2516 ;
1901;Aarau;43129 ;18368 ;17878 ;7655 ;
1902;Baden;74520 ;31255 ;30389 ;13923 ;
1903;Bremgarten;41661 ;16670 ;16178 ;7510 ;
1904;Brugg;28870 ;12334 ;12007 ;5407 ;
1905;Kulm;23506 ;8302 ;8024 ;3465 ;
1906;Laufenburg;18078 ;7041 ;6841 ;2836 ;
1907;Lenzburg;30985 ;12432 ;12091 ;5538 ;
1908;Muri;19507 ;7106 ;6890 ;3226 ;
1909;Rheinfelden;25613 ;9241 ;9006 ;3513 ;
1910;Zofingen;39686 ;14673 ;14242 ;5912 ;
1911;Zurzach;19142 ;7277 ;7108 ;3454 ;
2001;Arbon;23153 ;8866 ;8386 ;3407 ;
2002;Bischofszell;19021 ;6503 ;6154 ;2787 ;
2003;Diessenhofen;3996 ;1679 ;1598 ;768 ;
2004;Frauenfeld;28673 ;11262 ;10676 ;4661 ;
2005;Kreuzlingen;20784 ;7842 ;7371 ;3523 ;
2006;Münchwilen;23394 ;8463 ;8053 ;3712 ;
2007;Steckborn;11543 ;4665 ;4372 ;2105 ;
2008;Weinfelden;16229 ;6511 ;6127 ;2769 ;
2101;Bellinzona;27735 ;11299 ;10492 ;4250 ;
2102;Blenio;4600 ;2354 ;2072 ;1040 ;
2103;Leventina;6173 ;3438 ;3097 ;1534 ;
2104;Locarno;38094 ;17520 ;16205 ;7317 ;
2105;Lugano;80219 ;34146 ;32286 ;14451 ;
2106;Mendrisio;31581 ;14819 ;14010 ;5614 ;
2107;Riviera;6575 ;2625 ;2397 ;1068 ;
2108;Vallemaggia;4086 ;1918 ;1670 ;781 ;
2201;Aigle;19806 ;8878 ;8657 ;1787 ;
2202;Aubonne;7309 ;3669 ;3606 ;747 ;
2203;Avenches;4290 ;1804 ;1740 ;504 ;
2204;Cossonay;13733 ;6937 ;6784 ;1179 ;
2205;Echallens;13859 ;6732 ;6570 ;1317 ;
2206;Grandson;8504 ;3967 ;3887 ;738 ;
2207;Lausanne;102698 ;53529 ;52987 ;5347 ;
2208;Lavaux;15185 ;8158 ;7992 ;1478 ;
2209;Morges;38688 ;20548 ;20196 ;3123 ;
2210;Moudon;7410 ;3493 ;3367 ;684 ;
2211;Nyon;34411 ;16936 ;16562 ;3692 ;
2212;Orbe;12219 ;5826 ;5706 ;986 ;
2213;Oron;6959 ;3385 ;3304 ;595 ;
2214;Payerne;9075 ;4066 ;3968 ;842 ;
2215;Pays d'Enhaut;2949 ;1023 ;1000 ;261 ;
2216;Rolle;6531 ;3340 ;3276 ;724 ;
