Volksabstimmung vom 2 Dezember 2001;482;482
Volksinitiative «für eine glaubwürdige Sicherheitspolitik und eine Schweiz ohne Armee»;
102;Andelfingen;18557 ;8403 ;8277 ;1366 ;1705;Werdenberg;20821 ;7894 ;7816 ;1512  
103;Bülach;70173 ;26358 ;25964 ;4811 ;1706;Sargans;22947 ;8724 ;8688 ;1418  
104;Dielsdorf;43440 ;14942 ;14780 ;2819 ;1707;Gaster;8569 ;2619 ;2608 ;424  
105;Hinwil;51123 ;20126 ;19840 ;3817 ;1708;See;29032 ;10946 ;10871 ;2031  
106;Horgen;71095 ;31672 ;31084 ;6005 ;1709;Obertoggenburg;7952 ;3035 ;3019 ;447  
107;Meilen;61365 ;28300 ;27856 ;4681 ;1710;Neutoggenburg;9340 ;3512 ;3484 ;595  
108;Pfäffikon;33755 ;13376 ;13177 ;2594 ;1711;Alttoggenburg;9692 ;3443 ;3426 ;523  
109;Uster;68911 ;26273 ;25869 ;5674 ;1712;Untertoggenburg;23340 ;8503 ;8461 ;1451  
110;Winterthur;89984 ;40738 ;39788 ;9098 ;1713;Wil;21115 ;8246 ;8196 ;1289  
111;Dietikon;44283 ;16941 ;16712 ;3054 ;1714;Gossau;19509 ;7659 ;7631 ;1184  
112;Zürich;216948 ;84110 ;82054 ;25607 ;1821;Albula;6250 ;1905 ;1895 ;297  
201;Aarberg;23531 ;8607 ;8526 ;1551 ;1822;Bernina;3735 ;1303 ;1277 ;226  
202;Aarwangen;28671 ;10950 ;10871 ;1527 ;1823;Hinterrhein;8547 ;2891 ;2845 ;522  
203;Bern;168478 ;69094 ;68092 ;17926 ;1824;Imboden;11435 ;3631 ;3576 ;609  
204;Biel;32265 ;10648 ;10464 ;3284 ;1825;Inn;6590 ;1987 ;1967 ;318  
205;Büren;15667 ;5487 ;5440 ;865 ;1826;Landquart;15228 ;4567 ;4508 ;845  
206;Burgdorf;32178 ;11998 ;11884 ;2015 ;1827;Maloja;11075 ;3645 ;3566 ;670  
207;Courtelary;15293 ;6014 ;5919 ;1828 ;1828;Moesa;5457 ;1839 ;1797 ;375  
208;Erlach;7321 ;2870 ;2844 ;422 ;1829;Plessur;26525 ;10326 ;9918 ;2096  
209;Fraubrunnen;26880 ;10608 ;10480 ;1981 ;1830;Prättigau-Davos;17232 ;5673 ;5523 ;942  
210;Frutigen;13491 ;5636 ;5594 ;504 ;1831;Surselva;16482 ;5219 ;5168 ;717  
211;Interlaken;26743 ;10464 ;10388 ;1330 ;1901;Aarau;42304 ;15924 ;15761 ;2880  
212;Konolfingen;40918 ;15630 ;15440 ;2623 ;1902;Baden;73208 ;24713 ;24483 ;4691  
213;Laupen;10783 ;4071 ;4032 ;683 ;1903;Bremgarten;40406 ;12653 ;12556 ;2225  
214;Moutier;15489 ;6973 ;6902 ;2233 ;1904;Brugg;28324 ;10237 ;10142 ;1675  
215;La Neuveville;4132 ;1709 ;1687 ;544 ;1905;Kulm;23263 ;7343 ;7296 ;881  
216;Nidau;28613 ;10853 ;10716 ;2057 ;1906;Laufenburg;17726 ;5728 ;5687 ;880  
217;Niedersimmental;15990 ;6298 ;6251 ;820 ;1907;Lenzburg;30298 ;10149 ;10061 ;1529  
218;Oberhasli;5649 ;2085 ;2064 ;237 ;1908;Muri;19016 ;5794 ;5739 ;910  
219;Obersimmental;6133 ;2338 ;2330 ;139 ;1909;Rheinfelden;24911 ;7757 ;7707 ;1563  
220;Saanen;5525 ;1811 ;1797 ;191 ;1910;Zofingen;38993 ;12182 ;12078 ;1957  
221;Schwarzenburg;7465 ;2630 ;2600 ;437 ;1911;Zurzach;18812 ;6012 ;5981 ;909  
222;Seftigen;26136 ;10466 ;10342 ;1686 ;2001;Arbon;22833 ;7609 ;7401 ;1272  
223;Signau;18392 ;5485 ;5417 ;795 ;2002;Bischofszell;18731 ;5924 ;5781 ;825  
224;Thun;66137 ;27329 ;27013 ;3691 ;2003;Diessenhofen;3961 ;1402 ;1391 ;194  
225;Trachselwald;17699 ;5567 ;5520 ;712 ;2004;Frauenfeld;27863 ;10390 ;10228 ;1891  
226;Wangen;18832 ;6866 ;6827 ;892 ;2005;Kreuzlingen;20534 ;7590 ;7369 ;1244  
301;Entlebuch;12962 ;5356 ;5290 ;511 ;2006;Münchwilen;22568 ;8525 ;8381 ;1235  
302;Hochdorf;38602 ;16928 ;16715 ;2547 ;2007;Steckborn;11212 ;4602 ;4491 ;668  
303;Luzern;107069 ;44676 ;44007 ;9507 ;2008;Weinfelden;15947 ;6279 ;6132 ;840  
304;Sursee;41825 ;16672 ;16456 ;2301 ;2101;Bellinzona;27347 ;8331 ;8176 ;1989  
305;Willisau;31160 ;12197 ;12025 ;1532 ;2102;Blenio;4495 ;1428 ;1404 ;248  
306;LU-Auslandschweizer;2488 ;1288 ;1264 ;258 ;2103;Leventina;6224 ;2417 ;2369 ;403  
