Volksabstimmung vom 29 November 2009;Abst-Nr;547;
Volksinitiative «Gegen den Bau von Minaretten»;
101;Affoltern;31921 ;18211;57.1;17865;9621;8244;53.9;
102;Andelfingen;20854 ;12864;61.7;12630;8129;4501;64.4;
103;Bülach;80640 ;42989;53.3;42120;25709;16411;61.0;
104;Dielsdorf;48863;26297;53.8;25748;16942;8806;65.8;
105;Hinwil;57709;31892;55.3;31324;20260;11064;64.7;
106;Horgen;73434;41415;56.4;40467;20313;20154;50.2;
107;Meilen;64907;38983;60.1;37954;18295;19659;48.2;
108;Pfäffikon;37322;21894;58.7;21507;13434;8073;62.5;
109;Uster;75717;40975;54.1;39975;22394;17581;56.0;
110;Winterthur;100588;57787;57.4;56396;29832;26564;52.9;
111;Dietikon;45837;24361;53.1;23741;13719;10022;57.8;
112;Zürich;226938;116893;51.5;112852;41008;71844;36.3;
201;Aarberg;25807;13247;51.3;13086;8637;4449;66.0;
202;Aarwangen;29922;15689;52.4;15538;10816;4722;69.6;
203;Bern;167652;90223;53.8;89085;38827;50258;43.6;
204;Biel;33159;15475;46.7;15273;8574;6699;56.1;
205;Büren;16191;8313;51.3;8232;6044;2188;73.4;
206;Burgdorf;34357;16981;49.4;16822;10776;6046;64.1;
207;Courtelary;15604;8297;53.2;8141;5307;2834;65.2;
208;Erlach;7799;4248;54.5;4205;2772;1433;65.9;
209;Fraubrunnen;29224;15103;51.7;14924;9151;5773;61.3;
210;Frutigen;14355;7960;55.5;7864;5995;1869;76.2;
211;Interlaken;27983;13725;49.0;13561;9068;4493;66.9;
212;Konolfingen;43686;23441;53.7;23177;14489;8688;62.5;
213;Laupen;11255;5790;51.4;5721;3668;2053;64.1;
214;Moutier;15630;9016;57.7;8833;5946;2887;67.3;
215;La Neuveville;4411;2412;54.7;2374;1288;1086;54.3;
216;Nidau;30475;16428;53.9;16243;11343;4900;69.8;
217;Niedersimmental;16888;9038;53.5;8949;6212;2737;69.4;
218;Oberhasli;5681;2651;46.7;2631;1774;857;67.4;
219;Obersimmental;6297;3224;51.2;3178;2347;831;73.9;
220;Saanen;5658;2785;49.2;2757;1938;819;70.3;
221;Schwarzenburg;8024;3733;46.5;3691;2485;1206;67.3;
222;Seftigen;28084;15042;53.6;14808;9664;5144;65.3;
223;Signau;19277;8330;43.2;8237;5776;2461;70.1;
224;Thun;71282;38259;53.7;37779;24911;12868;65.9;
225;Trachselwald;18152;8326;45.9;8182;5979;2203;73.1;
226;Wangen;20172;10242;50.8;10151;7295;2856;71.9;
301;Entlebuch;13335;7255;54.4;7132;5167;1965;72.4;
302;Hochdorf;41779;22338;53.5;21994;14373;7621;65.3;
303;Luzern;114503;61392;53.6;60370;32561;27809;53.9;
304;Sursee;47392;26242;55.4;25731;16685;9046;64.8;
305;Willisau;33426;18394;55.0;18063;13139;4924;72.7;
400;Kt Uri;25949;13486;52.0;13269;8464;4805;63.8;
501;Einsiedeln;9837;5091;51.8;5070;3385;1685;66.8;
502;Gersau;1405;773;55.0;769;481;288;62.5;
503;Höfe;17619;9412;53.4;9328;5655;3673;60.6;
504;Küssnacht (SZ);8078;4507;55.8;4455;2737;1718;61.4;
505;March;24700;12145;49.2;12086;8441;3645;69.8;
506;Schwyz;34758;17811;51.2;17699;12053;5646;68.1;
600;Kt Obwalden;24680;15049;61.0;14627;9131;5496;62.4;
700;Kt Nidwalden;30006;17094;57.0;16569;10399;6170;62.8;
800;Kt Glarus;25750;12080;46.9;12009;8259;3750;68.8;
900;Kt Zug;70903;43871;61.9;43455;24632;18823;56.7;
