Volksabstimmung vom 29 November 2009;Abst-Nr;545;
Bundesbeschluss zur Schaffung einer Spezialfinanzierung für Aufgaben im Luftverkehr;
101;Affoltern;31921 ;17544;55.0;16412;11692;4720;71.2;
102;Andelfingen;20854 ;12513;60.0;11662;7924;3738;67.9;
103;Bülach;80640 ;41676;51.7;39387;26976;12411;68.5;
104;Dielsdorf;48863;25310;51.8;23874;15573;8301;65.2;
105;Hinwil;57709;30416;52.7;28443;18144;10299;63.8;
106;Horgen;73434;40029;54.5;37378;26711;10667;71.5;
107;Meilen;64907;38148;58.8;35534;25682;9852;72.3;
108;Pfäffikon;37322;21106;56.6;19735;12770;6965;64.7;
109;Uster;75717;39526;52.2;36872;24798;12074;67.3;
110;Winterthur;100588;55835;55.5;51605;35369;16236;68.5;
111;Dietikon;45837;23346;50.9;21889;15191;6698;69.4;
112;Zürich;226938;111415;49.1;100617;71972;28645;71.5;
201;Aarberg;25807;13238;51.3;12409;8339;4070;67.2;
202;Aarwangen;29922;15688;52.4;14813;9154;5659;61.8;
203;Bern;167652;90221;53.8;83011;59018;23993;71.1;
204;Biel;33159;15475;46.7;14176;9208;4968;65.0;
205;Büren;16191;8313;51.3;7861;4846;3015;61.6;
206;Burgdorf;34357;16981;49.4;15916;10382;5534;65.2;
207;Courtelary;15604;8351;53.5;7450;4132;3318;55.5;
208;Erlach;7799;4249;54.5;3957;2607;1350;65.9;
209;Fraubrunnen;29224;15184;52.0;14233;9540;4693;67.0;
210;Frutigen;14355;7970;55.5;7231;4371;2860;60.4;
211;Interlaken;27983;13724;49.0;12833;8396;4437;65.4;
212;Konolfingen;43686;23445;53.7;21842;14651;7191;67.1;
213;Laupen;11255;5790;51.4;5434;3640;1794;67.0;
214;Moutier;15630;9016;57.7;8044;4090;3954;50.8;
215;La Neuveville;4411;2412;54.7;2153;1372;781;63.7;
216;Nidau;30475;16386;53.8;15357;10076;5281;65.6;
217;Niedersimmental;16888;9038;53.5;8442;5604;2838;66.4;
218;Oberhasli;5681;2647;46.6;2462;1508;954;61.3;
219;Obersimmental;6297;3224;51.2;2983;1891;1092;63.4;
220;Saanen;5658;2785;49.2;2544;1735;809;68.2;
221;Schwarzenburg;8024;3733;46.5;3498;2030;1468;58.0;
222;Seftigen;28084;15042;53.6;14019;9159;4860;65.3;
223;Signau;19277;8331;43.2;7672;4599;3073;59.9;
224;Thun;71282;38259;53.7;35714;24012;11702;67.2;
225;Trachselwald;18152;8326;45.9;7745;4671;3074;60.3;
226;Wangen;20172;10242;50.8;9751;5784;3967;59.3;
301;Entlebuch;13335;7111;53.3;6784;3900;2884;57.5;
302;Hochdorf;41779;21654;51.8;20682;13469;7213;65.1;
303;Luzern;114503;59673;52.1;56454;38989;17465;69.1;
