Volksabstimmung vom 30 November 2008;Abst-Nr;538;
Volksinitiative «für eine vernünftige Hanf-Politik mit wirksamem Jugendschutz»;
1727;Toggenburg;30503;14268;46.8;14061;4738;33.7;
1728;Wil;44659;20635;46.2;20365;7036;34.5;
1821;Albula;6238;2683;43.0;2618;970;37.1;
1822;Bernina;3732;1491;40.0;1430;441;30.8;
1823;Hinterrhein;8907;4284;48.1;4169;1660;39.8;
1824;Imboden;12416;5949;47.9;5761;2315;40.2;
1825;Inn;6800;2739;40.3;2687;986;36.7;
1826;Landquart;16648;7331;44.0;7125;2695;37.8;
1827;Maloja / Maloggia;11072;4780;43.2;4637;1787;38.5;
1828;Moësa;5565;2229;40.1;2110;826;39.1;
1829;Plessur;27717;12651;45.6;12178;5062;41.6;
1830;Prättigau-Davos;17369;8194;47.2;7838;2883;36.8;
1831;Surselva;16582;6870;41.4;6704;2561;38.2;
1901;Aarau;45480;22699;49.9;22262;8418;37.8;
1902;Baden;78643;36309;46.2;35723;13528;37.9;
1903;Bremgarten;43911;19713;44.9;19414;7492;38.6;
1904;Brugg;30220;15135;50.1;14844;5484;36.9;
1905;Kulm;24225;10234;42.2;10028;3298;32.9;
1906;Laufenburg;19461;9266;47.6;9134;3245;35.5;
1907;Lenzburg;33809;15755;46.6;15509;5612;36.2;
1908;Muri;20980;8544;40.7;8435;2858;33.9;
1909;Rheinfelden;27347;11055;40.4;10858;4147;38.2;
1910;Zofingen;41887;17607;42.0;17304;6696;38.7;
1911;Zurzach;19533;8892;45.5;8762;3030;34.6;
2001;Arbon;24613;11201;45.5;10664;3682;34.5;
2002;Bischofszell;19890;8618;43.3;8285;2704;32.6;
2003;Diessenhofen;4207;2070;49.2;2022;701;34.7;
2004;Frauenfeld;30490;14207;46.6;13717;4898;35.7;
2005;Kreuzlingen;21239;9719;45.8;9321;3321;35.6;
2006;Münchwilen;24925;11291;45.3;10820;3590;33.2;
2007;Steckborn;12352;5853;47.4;5634;1862;33.0;
2008;Weinfelden;17318;8121;46.9;7831;2416;30.9;
2101;Bellinzona;29084;10560;36.3;10198;3694;36.2;
2102;Blenio;4587;1426;31.1;1367;469;34.3;
2103;Leventina;6139;2562;41.7;2478;689;27.8;
2104;Locarno;40322;15360;38.1;14884;5242;35.2;
2105;Lugano;83891;34807;41.5;33810;11186;33.1;
2106;Mendrisio;32272;14580;45.2;14115;4407;31.2;
2107;Riviera;6834;2282;33.4;2208;851;38.5;
