Volksabstimmung vom 9 Februar 2003;493;493 ;
Bundesbeschluss über die Änderung der Volksrechte;
102;Andelfingen;18895 ;6838 ;36.2 ;6605 ;4009 ;60.7 ;
103;Bülach;72207 ;25636 ;35.5 ;24821 ;15885 ;64.0 ;
104;Dielsdorf;44059 ;12860 ;29.2 ;12484 ;8237 ;66.0 ;
105;Hinwil;52094 ;16951 ;32.5 ;16373 ;10236 ;62.5 ;
106;Horgen;71594 ;22825 ;31.9 ;22229 ;15291 ;68.8 ;
107;Meilen;62697 ;22356 ;35.7 ;21756 ;14690 ;67.5 ;
108;Pfäffikon;34276 ;10214 ;29.8 ;9897 ;6076 ;61.4 ;
109;Uster;70145 ;22247 ;31.7 ;21551 ;14449 ;67.0 ;
110;Winterthur;91320 ;32749 ;35.9 ;31619 ;22084 ;69.8 ;
111;Dietikon;44530 ;13837 ;31.1 ;13476 ;9625 ;71.4 ;
112;Zürich;216973 ;70895 ;32.7 ;68618 ;46014 ;67.1 ;
201;Aarberg;23913 ;5455 ;22.8 ;5403 ;4254 ;78.7 ;
202;Aarwangen;28810 ;6599 ;22.9 ;6529 ;4816 ;73.8 ;
203;Bern;168448 ;50533 ;30.0 ;49654 ;36798 ;74.1 ;
204;Biel;32456 ;7888 ;24.3 ;7731 ;5516 ;71.3 ;
205;Büren;15666 ;3227 ;20.6 ;3198 ;2448 ;76.5 ;
206;Burgdorf;32339 ;7844 ;24.3 ;7742 ;5875 ;75.9 ;
207;Courtelary;15361 ;2556 ;16.6 ;2492 ;1836 ;73.7 ;
208;Erlach;7322 ;1634 ;22.3 ;1614 ;1155 ;71.6 ;
209;Fraubrunnen;27055 ;6727 ;24.9 ;6648 ;4764 ;71.7 ;
210;Frutigen;13560 ;2342 ;17.3 ;2314 ;1595 ;68.9 ;
211;Interlaken;26949 ;6486 ;24.1 ;6397 ;4747 ;74.2 ;
212;Konolfingen;41218 ;9727 ;23.6 ;9586 ;7290 ;76.0 ;
213;Laupen;10893 ;2970 ;27.3 ;2907 ;2229 ;76.7 ;
214;Moutier;15365 ;2731 ;17.8 ;2679 ;1877 ;70.1 ;
215;La Neuveville;4204 ;850 ;20.2 ;832 ;619 ;74.4 ;
216;Nidau;28910 ;6810 ;23.6 ;6709 ;5245 ;78.2 ;
217;Niedersimmental;16079 ;3487 ;21.7 ;3442 ;2604 ;75.7 ;
218;Oberhasli;5599 ;949 ;16.9 ;936 ;636 ;67.9 ;
219;Obersimmental;6137 ;948 ;15.4 ;942 ;692 ;73.5 ;
220;Saanen;5609 ;866 ;15.4 ;858 ;701 ;81.7 ;
221;Schwarzenburg;7572 ;1413 ;18.7 ;1394 ;972 ;69.7 ;
222;Seftigen;26331 ;6012 ;22.8 ;5936 ;4566 ;76.9 ;
223;Signau;18552 ;2991 ;16.1 ;2945 ;2074 ;70.4 ;
224;Thun;66920 ;15346 ;22.9 ;15169 ;11611 ;76.5 ;
225;Trachselwald;17678 ;2958 ;16.7 ;2924 ;2202 ;75.3 ;
226;Wangen;18909 ;4065 ;21.5 ;4031 ;2937 ;72.9 ;
301;Entlebuch;12983 ;3529 ;27.2 ;3474 ;2357 ;67.8 ;
