Volksabstimmung vom 11 März 2007;528;528;
Volksinitiative «Für eine soziale Einheitskrankenkasse»;
102;Andelfingen;20091;10140;50.5;10040;1770;17.6
103;Bülach;76812;33580;43.7;33066;6010;18.2
104;Dielsdorf;46716;19321;41.4;18927;3252;17.2
105;Hinwil;54906;23921;43.6;23554;4472;19.0
106;Horgen;72712;34391;47.3;33858;6194;18.3
107;Meilen;64201;33109;51.6;32432;4650;14.3
108;Pfäffikon;36145;16767;46.4;16557;2968;17.9
109;Uster;72653;30363;41.8;29708;6034;20.3
110;Winterthur;96266;46696;48.5;45471;9744;21.4
111;Dietikon;44960;18672;41.5;18330;3465;18.9
112;Zürich;222379;93176;41.9;89819;28104;31.3
201;Aarberg;24840;9660;38.9;9569;2413;25.2
202;Aarwangen;29647;10903;36.8;10861;2782;25.6
203;Bern;169125;75387;44.6;74831;22815;30.5
204;Biel;32522;13092;40.3;12988;6006;46.2
205;Büren;16123;5889;36.5;5867;1737;29.6
206;Burgdorf;33419;12664;37.9;12610;3449;27.4
207;Courtelary;15465;7278;47.1;7203;4033;56.0
208;Erlach;7631;3137;41.1;3100;794;25.6
209;Fraubrunnen;28214;11713;41.5;11644;3091;26.5
210;Frutigen;14076;4915;34.9;4883;1024;21.0
211;Interlaken;27635;9781;35.4;9723;2581;26.5
212;Konolfingen;42785;17105;40.0;16992;4237;24.9
213;Laupen;11032;4435;40.2;4396;1011;23.0
214;Moutier;15583;7450;47.8;7379;4442;60.2
215;La Neuveville;4260;2083;48.9;2058;1116;54.2
216;Nidau;30095;12128;40.3;12050;3513;29.2
217;Niedersimmental;16721;6067;36.3;5931;1573;26.5
218;Oberhasli;5687;1836;32.3;1830;456;24.9
219;Obersimmental;6215;2115;34.0;2100;477;22.7
220;Saanen;5577;1818;32.6;1813;340;18.8
221;Schwarzenburg;7833;2796;35.7;2782;875;31.5
222;Seftigen;27499;11090;40.3;11037;2873;26.0
223;Signau;18980;5841;30.8;5775;1440;24.9
224;Thun;69676;27746;39.8;27523;7420;27.0
225;Trachselwald;17963;6122;34.1;6044;1213;20.1
226;Wangen;19591;7078;36.1;7061;1976;28.0
301;Entlebuch;13143;6327;48.1;6262;689;11.0
302;Hochdorf;40605;20129;49.6;19961;3273;16.4
303;Luzern;111014;55891;50.3;55289;11558;20.9
304;Sursee;45148;22064;48.9;21827;3019;13.8
305;Willisau;32225;16078;49.9;15920;2046;12.9
9030;LU-Ausland-CH;3203;1410;44.0;1362;419;30.8
400;Kt Uri;25631;9301;36.3;9187;1726;18.8
501;Einsiedeln;9403;4059;43.2;3966;440;11.1
502;Gersau;1368;646;47.2;633;76;12.0
503;Höfe;17539;8393;47.9;8187;993;12.1
504;Küssnacht (SZ);7932;4120;51.9;4017;570;14.2
505;March;23415;9537;40.7;9342;1216;13.0
506;Schwyz;33754;16393;48.6;16076;2107;13.1
600;Kt Obwalden;23778;11697;49.2;11356;1454;12.8
700;Kt Nidwalden;29468;13180;44.7;12981;1490;11.5
800;Kt Glarus;25346;9746;38.5;9712;1767;18.2
900;Kt Zug;70041;38104;54.4;37872;5988;15.8
1001;La Broye;16287;8332;51.2;8233;3273;39.8
1002;La Glâne;13089;6166;47.1;6072;2366;39.0
1003;La Gruyère;27725;13644;49.2;13353;5089;38.1
1004;La Sarine;55290;27911;50.5;27356;12010;43.9
1005;See / Lac;20744;9468;45.6;9396;2502;26.6
1006;Sense;29560;11960;40.5;11906;2982;25.0
1007;La Veveyse;9581;4973;51.9;4888;1990;40.7
1101;Gäu;11648;4570;39.2;4549;891;19.6
1102;Thal;9682;3830;39.6;3820;796;20.8
1103;Bucheggberg;5799;2516;43.4;2504;598;23.9
1104;Dorneck;13171;5822;44.2;5777;1457;25.2
1105;Gösgen;14817;6019;40.6;5988;1340;22.4
1106;Wasseramt;31001;12237;39.5;12183;3512;28.8
1107;Lebern;29166;11308;38.8;11248;2862;25.4
1108;Olten;32632;13628;41.8;13548;3099;22.9
1109;Solothurn;10707;4290;40.1;4273;1237;28.9
1110;Thierstein;9890;3700;37.4;3688;917;24.9
1200;Kt Basel-Stadt;108305;50067;46.2;49306;17114;34.7
9120;BS-Ausland-CH;5540;2164;39.1;2146;697;32.5
1301;Arlesheim;101714;42949;42.2;42389;10375;24.5
1302;Laufen;12695;4347;34.2;4318;1197;27.7
1303;Liestal;35068;13044;37.2;12892;3452;26.8
1304;Sissach;23004;8197;35.6;8108;2288;28.2
1305;Waldenburg;10779;3606;33.5;3587;923;25.7
1401;Oberklettgau;2847;1878;66.0;1817;361;19.9
1402;Reiat;5271;3873;73.5;3715;749;20.2
1403;Schaffhausen;31485;20365;64.7;19465;5307;27.3
1404;Schleitheim;2178;1382;63.5;1352;237;17.5
1405;Stein;3438;2170;63.1;2125;494;23.2
1406;Unterklettgau;3295;2167;65.8;2128;387;18.2
1501;Hinterland;16196;7072;43.7;7055;1229;17.4
1502;Mittelland;11428;5762;50.4;5731;988;17.2
1503;Vorderland;9236;4025;43.6;3995;882;22.1
1600;Kt Appenzell Innerrhoden;10559;4515;42.8;4409;347;7.9
